code,title
001,Chief Executives
002,General and Operations Managers
003,Legislators
004,Advertising and Promotions Managers
005,Marketing and Sales Managers
006,Public Relations Managers
010,Administrative Services Managers
011,Computer and Information Systems Managers
012,Financial Managers
013,Human Resources Managers
014,Industrial Production Managers
015,Purchasing Managers
016,"Transportation, Storage, and Distribution Managers"
020,"Farm, Ranch, and Other Agricultural Managers"
021,Farmers and Ranchers
022,Construction Managers
023,Education Administrators
030,Engineering Managers
031,Food Service Managers
032,Funeral Directors
033,Gaming Managers
034,Lodging Managers
035,Medical and Health Services Managers
036,Natural Sciences Managers
040,Postmasters and Mail Superintendents
041,"Property, Real Estate, and Community Association Managers"
042,Social and Community Service Managers
043,"Managers, All Other"
050,"Agents and Business Managers of Artists, Performers, and Athletes"
051,"Purchasing Agents and Buyers, Farm Products"
052,"Wholesale and Retail Buyers, Except Farm Products"
053,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
054,"Claims Adjusters, Appraisers, Examiners, and Investigators"
056,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
060,Cost Estimators
062,"Human Resources, Training, and Labor Relations Specialists"
070,Logisticians
071,Management Analysts
072,Meeting and Convention Planners
073,Other Business Operations Specialists
080,Accountants and Auditors
081,Appraisers and Assessors of Real Estate
082,Budget Analysts
083,Credit Analysts
084,Financial Analysts
085,Personal Financial Advisors
086,Insurance Underwriters
090,Financial Examiners
091,Loan Counselors and Officers
093,"Tax Examiners, Collectors, and Revenue Agents"
094,Tax Preparers
095,"Financial Specialists, All Other"
100,Computer Scientists and Systems Analysts
101,Computer Programmers
102,Computer Software Engineers
104,Computer Support Specialists
106,Database Administrators
110,Network and Computer Systems Administrators
111,Network Systems and Data Communications Analysts
120,Actuaries
121,Mathematicians
122,Operations Research Analysts
123,Statisticians
124,Miscellaneous Mathematical Science Occupations
130,"Architects, Except Naval"
131,"Surveyors, Cartographers, and Photogrammetrists"
132,Aerospace Engineers
133,Agricultural Engineers
134,Biomedical Engineers
135,Chemical Engineers
136,Civil Engineers
140,Computer Hardware Engineers
141,Electrical and Electronics Engineers
142,Environmental Engineers
143,"Industrial Engineers, Including Health and Safety"
144,Marine Engineers and Naval Architects
145,Materials Engineers
146,Mechanical Engineers
150,"Mining and Geological Engineers, Including Mining Safety Engineers"
151,Nuclear Engineers
152,Petroleum Engineers
153,"Engineers, All Other"
154,Drafters
155,"Engineering Technicians, Except Drafters"
156,Surveying and Mapping Technicians
160,Agricultural and Food Scientists
161,Biological Scientists
164,Conservation Scientists and Foresters
165,Medical Scientists
170,Astronomers and Physicists
