census2010,title,soc2010,soc2010_title
0010,Chief executives,11-1011,Chief Executives
0020,General and operations managers,11-1021,General and Operations Managers
0030,Legislators,11-1031,Legislators
0040,Advertising and promotions managers,11-2011,Advertising and Promotions Managers
0050,Marketing and sales managers,11-2021,Marketing Managers
0050,Marketing and sales managers,11-2022,Sales Managers
0060,Public relations and fundraising managers,11-2031,Public Relations and Fundraising Managers
0100,Administrative services managers,11-3011,Administrative Services Managers
0110,Computer and information systems managers,11-3021,Computer and Information Systems Managers
0120,Financial managers,11-3031,Financial Managers
0135,Compensation and benefits managers,11-3111,Compensation and Benefits Managers
0136,Human resources managers,11-3121,Human Resources Managers
0137,Training and development managers,11-3131,Training and Development Managers
0140,Industrial production managers,11-3051,Industrial Production Managers
0150,Purchasing managers,11-3061,Purchasing Managers
0160,"Transportation, storage, and distribution managers",11-3071,"Transportation, Storage, and Distribution Managers"
0205,"Farmers, ranchers, and other agricultural managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
0220,Construction managers,11-9021,Construction Managers
0230,Education administrators,11-9031,"Education Administrators, Preschool and Childcare Center/Program"
0230,Education administrators,11-9032,"Education Administrators, Elementary and Secondary School"
0230,Education administrators,11-9033,"Education Administrators, Postsecondary"
0230,Education administrators,11-9039,"Education Administrators, All Other"
0300,Architectural and engineering managers,11-9041,Architectural and Engineering Managers
0310,Food service managers,11-9051,Food Service Managers
0325,Funeral service managers,11-9061,Funeral Service Managers
0330,Gaming managers,11-9071,Gaming Managers
0340,Lodging managers,11-9081,Lodging Managers
0350,Medical and health services managers,11-9111,Medical and Health Services Managers
0360,Natural sciences managers,11-9121,Natural Sciences Managers
0400,Postmasters and mail superintendents,11-9131,Postmasters and Mail Superintendents
0410,"Property, real estate, and community association managers",11-9141,"Property, Real Estate, and Community Association Managers"
0420,Social and community service managers,11-9151,Social and Community Service Managers
0425,Emergency management directors,11-9161,Emergency Management Directors
0430,"Managers, all other",11-9199,"Managers, All Other"
0500,"Agents and business managers of artists, performers, and athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
0510,"Buyers and purchasing agents, farm products",13-1021,"Buyers and Purchasing Agents, Farm Products"
0520,"Wholesale and retail buyers, except farm products",13-1022,"Wholesale and Retail Buyers, Except Farm Products"
0530,"Purchasing agents, except wholesale, retail, and farm products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
0540,"Claims adjusters, appraisers, examiners, and investigators",13-1031,"Claims Adjusters, Examiners, and Investigators"
0540,"Claims adjusters, appraisers, examiners, and investigators",13-1032,"Insurance Appraisers, Auto Damage"
0565,Compliance officers,13-1041,Compliance Officers
0600,Cost estimators,13-1051,Cost Estimators
0630,Human resources workers,13-1071,Human Resources Specialists
0630,Human resources workers,13-1074,Farm Labor Contractors
0630,Human resources workers,13-1075,Labor Relations Specialists
0640,"Compensation, benefits, and job analysis specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists"
0650,Training and development specialists,13-1151,Training and Development Specialists
0700,Logisticians,13-1081,Logisticians
0710,Management analysts,13-1111,Management Analysts
0725,"Meeting, convention, and event planners",13-1121,"Meeting, Convention, and Event Planners"
0726,Fundraisers,13-1131,Fundraisers
0735,Market research analysts and marketing specialists,13-1161,Market Research Analysts and Marketing Specialists
0740,"Business operations specialists, all other",13-1199,"Business Operations Specialists, All Other"
0800,Accountants and auditors,13-2011,Accountants and Auditors
0810,Appraisers and assessors of real estate,13-2021,Appraisers and Assessors of Real Estate
0820,Budget analysts,13-2031,Budget Analysts
0830,Credit analysts,13-2041,Credit Analysts
0840,Financial analysts,13-2051,Financial Analysts
0850,Personal financial advisors,13-2052,Personal Financial Advisors
0860,Insurance underwriters,13-2053,Insurance Underwriters
0900,Financial examiners,13-2061,Financial Examiners
0910,Credit counselors and loan officers,13-2071,Credit Counselors
0910,Credit counselors and loan officers,13-2072,Loan Officers
0930,"Tax examiners and collectors, and revenue agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents"
0940,Tax preparers,13-2082,Tax Preparers
0950,"Financial specialists, all other",13-2099,"Financial Specialists, All Other"
1005,Computer and information research scientists,15-1111,Computer and Information Research Scientists
1006,Computer systems analysts,15-1121,Computer Systems Analysts
1007,Information security analysts,15-1122,Information Security Analysts
1010,Computer programmers,15-1131,Computer Programmers
1020,"Software developers, applications and systems software",15-1132,"Software Developers, Applications"
1020,"Software developers, applications and systems software",15-1133,"Software Developers, Systems Software"
1030,Web developers,15-1134,Web Developers
1050,Computer support specialists,15-1151,Computer User Support Specialists
1050,Computer support specialists,15-1152,Computer Network Support Specialists
1060,Database administrators,15-1141,Database Administrators
1105,Network and computer systems administrators,15-1142,Network and Computer Systems Administrators
1106,Computer network architects,15-1143,Computer Network Architects
1107,"Computer occupations, all other",15-1199,"Computer Occupations, All Other"
1200,Actuaries,15-2011,Actuaries
1210,Mathematicians,15-2021,Mathematicians
1220,Operations research analysts,15-2031,Operations Research Analysts
1230,Statisticians,15-2041,Statisticians
1240,Miscellaneous mathematical science occupations,15-2091,Mathematical Technicians
1240,Miscellaneous mathematical science occupations,15-2099,"Mathematical Science Occupations, All Other"
1300,"Architects, except naval",17-1011,"Architects, Except Landscape and Naval"
1300,"Architects, except naval",17-1012,Landscape Architects
1310,"Surveyors, cartographers, and photogrammetrists",17-1021,Cartographers and Photogrammetrists
1310,"Surveyors, cartographers, and photogrammetrists",17-1022,Surveyors
1320,Aerospace engineers,17-2011,Aerospace Engineers
1330,Agricultural engineers,17-2021,Agricultural Engineers
1340,Biomedical engineers,17-2031,Biomedical Engineers
1350,Chemical engineers,17-2041,Chemical Engineers
1360,Civil engineers,17-2051,Civil Engineers
1400,Computer hardware engineers,17-2061,Computer Hardware Engineers
1410,Electrical and electronics engineers,17-2071,Electrical Engineers
1410,Electrical and electronics engineers,17-2072,"Electronics Engineers, Except Computer"
1420,Environmental engineers,17-2081,Environmental Engineers
1430,"Industrial engineers, including health and safety",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
1430,"Industrial engineers, including health and safety",17-2112,Industrial Engineers
1440,Marine engineers and naval architects,17-2121,Marine Engineers and Naval Architects
1450,Materials engineers,17-2131,Materials Engineers
1460,Mechanical engineers,17-2141,Mechanical Engineers
1500,"Mining and geological engineers, including mining safety engineers",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
1510,Nuclear engineers,17-2161,Nuclear Engineers
1520,Petroleum engineers,17-2171,Petroleum Engineers
1530,"Engineers, all other",17-2199,"Engineers, All Other"
1540,Drafters,17-3011,Architectural and Civil Drafters
1540,Drafters,17-3012,Electrical and Electronics Drafters
1540,Drafters,17-3013,Mechanical Drafters
1540,Drafters,17-3019,"Drafters, All Other"
1550,"Engineering technicians, except drafters",17-3021,Aerospace Engineering and Operations Technicians
1550,"Engineering technicians, except drafters",17-3022,Civil Engineering Technicians
1550,"Engineering technicians, except drafters",17-3023,Electrical and Electronics Engineering Technicians
1550,"Engineering technicians, except drafters",17-3024,Electro-Mechanical Technicians
1550,"Engineering technicians, except drafters",17-3025,Environmental Engineering Technicians
1550,"Engineering technicians, except drafters",17-3026,Industrial Engineering Technicians
1550,"Engineering technicians, except drafters",17-3027,Mechanical Engineering Technicians
1550,"Engineering technicians, except drafters",17-3029,"Engineering Technicians, Except Drafters, All Other"
1560,Surveying and mapping technicians,17-3031,Surveying and Mapping Technicians
1600,Agricultural and food scientists,19-1011,Animal Scientists
1600,Agricultural and food scientists,19-1012,Food Scientists and Technologists
1600,Agricultural and food scientists,19-1013,Soil and Plant Scientists
1610,Biological scientists,19-1021,Biochemists and Biophysicists
1610,Biological scientists,19-1022,Microbiologists
1610,Biological scientists,19-1023,Zoologists and Wildlife Biologists
1610,Biological scientists,19-1029,"Biological Scientists, All Other"
1640,Conservation scientists and foresters,19-1031,Conservation Scientists
1640,Conservation scientists and foresters,19-1032,Foresters
1650,Medical scientists,19-1041,Epidemiologists
1650,Medical scientists,19-1042,"Medical Scientists, Except Epidemiologists"
1660,"Life scientists, all other",19-1099,"Life Scientists, All Other"
1700,Astronomers and physicists,19-2011,Astronomers
1700,Astronomers and physicists,19-2012,Physicists
1710,Atmospheric and space scientists,19-2021,Atmospheric and Space Scientists
1720,Chemists and materials scientists,19-2031,Chemists
1720,Chemists and materials scientists,19-2032,Materials Scientists
1740,Environmental scientists and geoscientists,19-2041,"Environmental Scientists and Specialists, Including Health"
1740,Environmental scientists and geoscientists,19-2042,"Geoscientists, Except Hydrologists and Geographers"
1740,Environmental scientists and geoscientists,19-2043,Hydrologists
1760,"Physical scientists, all other",19-2099,"Physical Scientists, All Other"
1800,Economists,19-3011,Economists
1815,Survey researchers,19-3022,Survey Researchers
1820,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists"
1820,Psychologists,19-3032,Industrial-Organizational Psychologists
1820,Psychologists,19-3039,"Psychologists, All Other"
1830,Sociologists,19-3041,Sociologists
1840,Urban and regional planners,19-3051,Urban and Regional Planners
1860,Miscellaneous social scientists and related workers,19-3091,Anthropologists and Archeologists
1860,Miscellaneous social scientists and related workers,19-3092,Geographers
1860,Miscellaneous social scientists and related workers,19-3093,Historians
1860,Miscellaneous social scientists and related workers,19-3094,Political Scientists
1860,Miscellaneous social scientists and related workers,19-3099,"Social Scientists and Related Workers, All Other"
1900,Agricultural and food science technicians,19-4011,Agricultural and Food Science Technicians
1910,Biological technicians,19-4021,Biological Technicians
1920,Chemical technicians,19-4031,Chemical Technicians
1930,Geological and petroleum technicians,19-4041,Geological and Petroleum Technicians
1940,Nuclear technicians,19-4051,Nuclear Technicians
1950,Social science research assistants,19-4061,Social Science Research Assistants
1965,"Miscellaneous life, physical, and social science technicians",19-4091,"Environmental Science and Protection Technicians, Including Health"
1965,"Miscellaneous life, physical, and social science technicians",19-4092,Forensic Science Technicians
1965,"Miscellaneous life, physical, and social science technicians",19-4093,Forest and Conservation Technicians
1965,"Miscellaneous life, physical, and social science technicians",19-4099,"Life, Physical, and Social Science Technicians, All Other"
2000,Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors
2000,Counselors,21-1012,"Educational, Guidance, School, and Vocational Counselors"
2000,Counselors,21-1013,Marriage and Family Therapists
2000,Counselors,21-1014,Mental Health Counselors
2000,Counselors,21-1015,Rehabilitation Counselors
2000,Counselors,21-1019,"Counselors, All Other"
2010,Social workers,21-1021,"Child, Family, and School Social Workers"
2010,Social workers,21-1022,Healthcare Social Workers
2010,Social workers,21-1023,Mental Health and Substance Abuse Social Workers
2010,Social workers,21-1029,"Social Workers, All Other"
2015,Probation officers and correctional treatment specialists,21-1092,Probation Officers and Correctional Treatment Specialists
2016,Social and human service assistants,21-1093,Social and Human Service Assistants
2025,"Miscellaneous community and social service specialists, including health educators and community health workers",21-1091,Health Educators
2025,"Miscellaneous community and social service specialists, including health educators and community health workers",21-1094,Community Health Workers
2025,"Miscellaneous community and social service specialists, including health educators and community health workers",21-1099,"Community and Social Service Specialists, All Other"
2040,Clergy,21-2011,Clergy
2050,"Directors, religious activities and education",21-2021,"Directors, Religious Activities and Education"
2060,"Religious workers, all other",21-2099,"Religious Workers, All Other"
2100,Lawyers,23-1011,Lawyers
2105,Judicial law clerks,23-1012,Judicial Law Clerks
2110,"Judges, magistrates, and other judicial workers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
2110,"Judges, magistrates, and other judicial workers",23-1022,"Arbitrators, Mediators, and Conciliators"
2110,"Judges, magistrates, and other judicial workers",23-1023,"Judges, Magistrate Judges, and Magistrates"
2145,Paralegals and legal assistants,23-2011,Paralegals and Legal Assistants
2160,Miscellaneous legal support workers,23-2091,Court Reporters
2160,Miscellaneous legal support workers,23-2093,"Title Examiners, Abstractors, and Searchers"
2160,Miscellaneous legal support workers,23-2099,"Legal Support Workers, All Other"
2200,Postsecondary teachers,25-1011,"Business Teachers, Postsecondary"
2200,Postsecondary teachers,25-1021,"Computer Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1022,"Mathematical Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1031,"Architecture Teachers, Postsecondary"
2200,Postsecondary teachers,25-1032,"Engineering Teachers, Postsecondary"
2200,Postsecondary teachers,25-1041,"Agricultural Sciences Teachers, Postsecondary"
2200,Postsecondary teachers,25-1042,"Biological Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
2200,Postsecondary teachers,25-1052,"Chemistry Teachers, Postsecondary"
2200,Postsecondary teachers,25-1053,"Environmental Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1054,"Physics Teachers, Postsecondary"
2200,Postsecondary teachers,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
2200,Postsecondary teachers,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
2200,Postsecondary teachers,25-1063,"Economics Teachers, Postsecondary"
2200,Postsecondary teachers,25-1064,"Geography Teachers, Postsecondary"
2200,Postsecondary teachers,25-1065,"Political Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1066,"Psychology Teachers, Postsecondary"
2200,Postsecondary teachers,25-1067,"Sociology Teachers, Postsecondary"
2200,Postsecondary teachers,25-1069,"Social Sciences Teachers, Postsecondary, All Other"
2200,Postsecondary teachers,25-1071,"Health Specialties Teachers, Postsecondary"
2200,Postsecondary teachers,25-1072,"Nursing Instructors and Teachers, Postsecondary"
2200,Postsecondary teachers,25-1081,"Education Teachers, Postsecondary"
2200,Postsecondary teachers,25-1082,"Library Science Teachers, Postsecondary"
2200,Postsecondary teachers,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
2200,Postsecondary teachers,25-1112,"Law Teachers, Postsecondary"
2200,Postsecondary teachers,25-1113,"Social Work Teachers, Postsecondary"
2200,Postsecondary teachers,25-1121,"Art, Drama, and Music Teachers, Postsecondary"
2200,Postsecondary teachers,25-1122,"Communications Teachers, Postsecondary"
2200,Postsecondary teachers,25-1123,"English Language and Literature Teachers, Postsecondary"
2200,Postsecondary teachers,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
2200,Postsecondary teachers,25-1125,"History Teachers, Postsecondary"
2200,Postsecondary teachers,25-1126,"Philosophy and Religion Teachers, Postsecondary"
2200,Postsecondary teachers,25-1191,Graduate Teaching Assistants
2200,Postsecondary teachers,25-1192,"Home Economics Teachers, Postsecondary"
2200,Postsecondary teachers,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
2200,Postsecondary teachers,25-1194,"Vocational Education Teachers, Postsecondary"
2200,Postsecondary teachers,25-1199,"Postsecondary Teachers, All Other"
2300,Preschool and kindergarten teachers,25-2011,"Preschool Teachers, Except Special Education"
2300,Preschool and kindergarten teachers,25-2012,"Kindergarten Teachers, Except Special Education"
2310,Elementary and middle school teachers,25-2021,"Elementary School Teachers, Except Special Education"
2310,Elementary and middle school teachers,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
2310,Elementary and middle school teachers,25-2023,"Career/Technical Education Teachers, Middle School"
2320,Secondary school teachers,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
2320,Secondary school teachers,25-2032,"Career/Technical Education Teachers, Secondary School"
2330,Special education teachers,25-2051,"Special Education Teachers, Preschool"
2330,Special education teachers,25-2052,"Special Education Teachers, Kindergarten and Elementary School"
2330,Special education teachers,25-2053,"Special Education Teachers, Middle School"
2330,Special education teachers,25-2054,"Special Education Teachers, Secondary School"
2330,Special education teachers,25-2059,"Special Education Teachers, All Other"
2340,Other teachers and instructors,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors
2340,Other teachers and instructors,25-3021,Self-Enrichment Education Teachers
2340,Other teachers and instructors,25-3099,"Teachers and Instructors, All Other"
2400,"Archivists, curators, and museum technicians",25-4011,Archivists
2400,"Archivists, curators, and museum technicians",25-4012,Curators
2400,"Archivists, curators, and museum technicians",25-4013,Museum Technicians and Conservators
2430,Librarians,25-4021,Librarians
2440,Library technicians,25-4031,Library Technicians
2540,Teacher assistants,25-9041,Teacher Assistants
2550,"Other education, training, and library workers",25-9011,Audio-Visual and Multimedia Collections Specialists
2550,"Other education, training, and library workers",25-9021,Farm and Home Management Advisors
2550,"Other education, training, and library workers",25-9031,Instructional Coordinators
2550,"Other education, training, and library workers",25-9099,"Education, Training, and Library Workers, All Other"
