code,title,Level,parent,isco1d,isco2d,isco3d,isco4d
1,"Legislators,Senior Officials and Managers",1,NA,1,NA,NA,NA
11,Legislators and Senior Officials,2,1,1,11,NA,NA
111,Legislators,3,11,1,11,111,NA
1110,Legislators,4,111,1,11,111,1110
112,Senior Government Officials,3,11,1,11,112,NA
1120,Senior government officials,4,112,1,11,112,1120
113,Traditional Chiefs and Heads of Villages,3,11,1,11,113,NA
1130,Traditional Chiefs and Heads of Villages,4,113,1,11,113,1130
114,Senior Officials of Special-Interest Organisations,3,11,1,11,114,NA
1141,Senior Officials of Political-Party Organisations,4,114,1,11,114,1141
1142,"Senior Officials of Employers', Workers' and other Economic-Interest Organisations",4,114,1,11,114,1142
1143,Senior Officials of Humanitarian and other Special-Interest Organisations,4,114,1,11,114,1143
12,Corporate Managers,2,1,1,12,NA,NA
121,Directors and Chief Executives,3,12,1,12,121,NA
1210,Directors and chief executives,4,121,1,12,121,1210
122,Production and Operations Department Managers,3,12,1,12,122,NA
1221,"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",4,122,1,12,122,1221
1222,Production and Operations Department Managers in Manufacturing,4,122,1,12,122,1222
1223,Production and Operations Department Managers in Construction,4,122,1,12,122,1223
1224,Production and Operations Department Managers in Wholesale and Retail Trade,4,122,1,12,122,1224
1225,Production and Operations Department Managers in Restaurants and Hotels,4,122,1,12,122,1225
1226,"Production and Operations Department Managers in Transport, Storage and Communications",4,122,1,12,122,1226
1227,Production and Operations Department Managers in Business Services,4,122,1,12,122,1227
1228,"Production and Operations Department Managers in Personal Care, Cleaning, and Related Services",4,122,1,12,122,1228
1229,Production and Operations Department Managers not elsewhere classified,4,122,1,12,122,1229
123,Other Department Managers,3,12,1,12,123,NA
1231,Finance and Administration Department Managers,4,123,1,12,123,1231
1232,Personnel and Industrial Relations Department Managers,4,123,1,12,123,1232
1233,Sales and Marketing Department Managers,4,123,1,12,123,1233
1234,Advertising and Public Relations Department Managers,4,123,1,12,123,1234
1235,Supply and Distribution Department Managers,4,123,1,12,123,1235
1236,Computing Services Department Managers,4,123,1,12,123,1236
1237,Research and Development Department Managers,4,123,1,12,123,1237
1239,Other Department Managers not elsewhere classified,4,123,1,12,123,1239
13,General Managers,2,1,1,13,NA,NA
131,General Managers,3,13,1,13,131,NA
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",4,131,1,13,131,1311
1312,General Managers in Manufacturing,4,131,1,13,131,1312
1313,General Managers in Construction,4,131,1,13,131,1313
1314,General Managers in Wholesale and Retail Trade,4,131,1,13,131,1314
1315,General Managers of Restaurants and Hotels,4,131,1,13,131,1315
1316,"General Managers in Transport, Storage and Communications",4,131,1,13,131,1316
1317,General Managers of Business Services,4,131,1,13,131,1317
1318,"General Managers in Personal Care, Cleaning and Related Services",4,131,1,13,131,1318
1319,General Managers Not Elsewhere Classified,4,131,1,13,131,1319
2,Professionals,1,NA,2,NA,NA,NA
21,"Physical, Mathematical and Engineering Science Professionals",2,2,2,21,NA,NA
211,"Physicists, Chemists and Related Professionals",3,21,2,21,211,NA
2111,Physicists and Astronomers,4,211,2,21,211,2111
2112,Meteorologists,4,211,2,21,211,2112
2113,Chemists,4,211,2,21,211,2113
2114,Geologists and Geophysicists,4,211,2,21,211,2114
212,"Mathematicians, Statisticians and Related Professionals",3,21,2,21,212,NA
2121,Mathematicians and Related Professionals,4,212,2,21,212,2121
2122,Statisticians,4,212,2,21,212,2122
213,Computing Professionals,3,21,2,21,213,NA
2131,Computer Systems Designers and Analysts,4,213,2,21,213,2131
2132,Computer Programmers,4,213,2,21,213,2132
2139,Computing Professionals not elsewhere classified,4,213,2,21,213,2139
214,"Architects, Engineers and related professionals",3,21,2,21,214,NA
2141,"Architects, Town and Traffic Planners",4,214,2,21,214,2141
2142,Civil Engineers,4,214,2,21,214,2142
2143,Electrical engineers,4,214,2,21,214,2143
2144,Electronics and Telecommunications Engineers,4,214,2,21,214,2144
2145,Mechanical Engineers,4,214,2,21,214,2145
2146,Chemical Engineers,4,214,2,21,214,2146
2147,"Mining Engineers, Metallurgists and Related Professionals",4,214,2,21,214,2147
2148,Cartographers and Surveyors,4,214,2,21,214,2148
2149,"Architects, Engineers and related Professionals not elsewhere classified",4,214,2,21,214,2149
22,Life Science and Health Professionals,2,2,2,22,NA,NA
221,Life Science Professionals,3,22,2,22,221,NA
2211,"Biologists, Botanists, Zoologists and Related Professionals",4,221,2,22,221,2211
2212,"Pharmacologists, Pathologists and Related Professionals",4,221,2,22,221,2212
2213,Agronomists and Related Professionals,4,221,2,22,221,2213
222,Health Professionals (Except Nursing),3,22,2,22,222,NA
2221,Medical Doctors,4,222,2,22,222,2221
2222,Dentists,4,222,2,22,222,2222
2223,Veterinarians,4,222,2,22,222,2223
2224,Pharmacists,4,222,2,22,222,2224
2229,Health Professionals (except nursing) not elsewhere classified,4,222,2,22,222,2229
223,Nursing and Midwifery Professionals,3,22,2,22,223,NA
2230,Nursing and midwifery professionals,4,223,2,22,223,2230
23,Teaching Professionals,2,2,2,23,NA,NA
231,"College, University and Higher Education Teaching Professionals",3,23,2,23,231,NA
2310,"College, University and Higher Education Teaching Professionals",4,231,2,23,231,2310
232,Secondary Education Teaching Professionals,3,23,2,23,232,NA
2320,Secondary Education Teaching Professionals,4,232,2,23,232,2320
233,Primary and Preprimary Education Teaching Professionals,3,23,2,23,233,NA
2331,Primary Education Teaching Professionals,4,233,2,23,233,2331
2332,Pre-Primary Education Teaching Professionals,4,233,2,23,233,2332
234,Special Education Teaching Professionals,3,23,2,23,234,NA
2340,Special Education Teaching Professionals,4,234,2,23,234,2340
235,Other Teaching Professionals,3,23,2,23,235,NA
2351,Education Methods Specialists,4,235,2,23,235,2351
2352,School Inspectors,4,235,2,23,235,2352
2359,Other Teaching Professionals not elsewhere classified,4,235,2,23,235,2359
24,Other Professionals,2,2,2,24,NA,NA
241,Business Professionals,3,24,2,24,241,NA
2411,Accountants,4,241,2,24,241,2411
2412,Personnel and Careers Professionals,4,241,2,24,241,2412
2419,Business Professionals Not Elsewhere Classified,4,241,2,24,241,2419
242,Legal Professionals,3,24,2,24,242,NA
2421,Lawyers,4,242,2,24,242,2421
2422,Judges,4,242,2,24,242,2422
2429,Legal Professionals not elsewhere classified,4,242,2,24,242,2429
243,"Archivists, Librarians and Related Information Professionals",3,24,2,24,243,NA
2431,Archivists and Curators,4,243,2,24,243,2431
2432,Librarians and related information Professionals,4,243,2,24,243,2432
244,Social Science and related Professionals,3,24,2,24,244,NA
2441,Economists,4,244,2,24,244,2441
2442,"Sociologists, Anthropologists and Related Professionals",4,244,2,24,244,2442
2443,"Philosophers, Historians and Political Scientists",4,244,2,24,244,2443
2444,"Philologists, Translators and Interpreters",4,244,2,24,244,2444
2445,Psychologists,4,244,2,24,244,2445
2446,Social Work Professionals,4,244,2,24,244,2446
245,Writers and Creative or Performing Artists,3,24,2,24,245,NA
2451,"Authors, Journalists and other Writers",4,245,2,24,245,2451
2452,"Sculptors, Painters and Related Artists",4,245,2,24,245,2452
2453,"Composers, Musicians and Singers",4,245,2,24,245,2453
245,Choreographers and Dancers,4,24,2,24,245,245
2455,"Film, Stage and related Actors and Directors",4,245,2,24,245,2455
