isco1988,isco1988_title,isco2008,isco2008_title
1110,Legislators,1111,Legislators
1120,Senior Government Officials,1112,Senior Government Officials
1130,Traditional Chiefs and Heads of Villages,1113,Traditional Chiefs and Heads of Villages
1141,Senior Officials of Political-Party Organisations,1114,Senior Officials of Special-interest Organizations
1142,"Senior Officials of Employers’, Workers’ and Other Economic-interest Organisations",1114,Senior Officials of Special-interest Organizations
1143,Senior Officials of Humanitarian and Other Special-interest Organisations,1114,Senior Officials of Special-interest Organizations
1210,Directors and Chief Executives,1120,Managing Directors and Chief Executives
1231,Finance and Administration Department Managers,1211,Finance Managers
1317,General Managers of Business Services,1211,Finance Managers
1232,Personnel and Industrial Relations Department Managers,1212,Human Resource managers
1317,General Managers of Business Services,1212,Human Resource managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1213,Policy and Planning Managers
1239,Other Department Managers Not Elsewhere Classified,1213,Policy and Planning Managers
1227,Production and Operations Department Managers in Business Services,1219,Business Services and Administration Managers Not Elsewhere Classified
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",1219,Business Services and Administration Managers Not Elsewhere Classified
1229,Production and Operations Department Managers Not Elsewhere Classified,1219,Business Services and Administration Managers Not Elsewhere Classified
1231,Finance and Administration Department Managers,1219,Business Services and Administration Managers Not Elsewhere Classified
1317,General Managers of Business Services,1219,Business Services and Administration Managers Not Elsewhere Classified
1318,"General Managers in Personal Care, Cleaning and Related Services",1219,Business Services and Administration Managers Not Elsewhere Classified
1233,Sales and Marketing Department Managers,1221,Sales and Marketing Managers
1317,General Managers of Business Services,1221,Sales and Marketing Managers
1234,Advertising and Public Relations Department Managers,1222,Advertising and Public Relations Managers
1317,General Managers of Business Services,1222,Advertising and Public Relations Managers
1237,Research and Development Department Managers,1223,Research and Development Managers
1319,General Managers Not Elsewhere Classified,1223,Research and Development Managers
1221,"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",1311,Agricultural and Forestry Production Managers
1221,"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",1312,Aquaculture and Fisheries Production Managers
1222,Production and Operations Department Managers in Manufacturing,1321,Manufacturing Managers
1312,General Managers in Manufacturing,1321,Manufacturing Managers
1222,Production and Operations Department Managers in Manufacturing,1322,Mining Managers
1312,General Managers in Manufacturing,1322,Mining Managers
1223,Production and Operations Department Managers in Construction,1323,Construction Managers
1313,General Managers in Construction,1323,Construction Managers
1226,"Production and Operations Department Managers in Transport, Storage and Communications",1324,"Supply, Distribution and Related Managers"
1235,Supply and Distribution Department Managers,1324,"Supply, Distribution and Related Managers"
1316,"General Managers in Transport, Storage and Communications",1324,"Supply, Distribution and Related Managers"
1226,"Production and Operations Department Managers in Transport, Storage and Communications",1330,Information and Communications Technology Services Managers
1236,Computing Services Department Managers,1330,Information and Communications Technology Services Managers
1316,"General Managers in Transport, Storage and Communications",1330,Information and Communications Technology Services Managers
1317,General Managers of Business Services,1330,Information and Communications Technology Services Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1341,Child Care Services Managers
1319,General Managers Not Elsewhere Classified,1341,Child Care Services Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1342,Health Services Managers
1319,General Managers Not Elsewhere Classified,1342,Health Services Managers
2230,Nursing and Midwifery Professionals,1342,Health Services Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1343,Aged Care Services Managers
1319,General Managers Not Elsewhere Classified,1343,Aged Care Services Managers
2230,Nursing and Midwifery Professionals,1343,Aged Care Services Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1344,Social Welfare Managers
1319,General Managers Not Elsewhere Classified,1344,Social Welfare Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1345,Education Managers
1319,General Managers Not Elsewhere Classified,1345,Education Managers
1227,Production and Operations Department Managers in Business Services,1346,Financial and Insurance Services Branch Managers
1317,General Managers of Business Services,1346,Financial and Insurance Services Branch Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,1349,Professional Services Managers Not Elsewhere Classified
1319,General Managers Not Elsewhere Classified,1349,Professional Services Managers Not Elsewhere Classified
1225,Production and Operations Department Managers in Restaurants and Hotels,1411,Hotel Managers
1315,General Managers of Restaurants and Hotels,1411,Hotel Managers
1225,Production and Operations Department Managers in Restaurants and Hotels,1412,Restaurant Managers
1315,General Managers of Restaurants and Hotels,1412,Restaurant Managers
1224,Production and Operations Department Managers in Wholesale and Retail Trade,1420,Retail and Wholesale Trade Managers
1314,General Managers in Wholesale and Retail Trade,1420,Retail and Wholesale Trade Managers
1319,General Managers Not Elsewhere Classified,1431,"Sports, Recreation and Cultural Centre Managers"
1229,Production and Operations Department Managers Not Elsewhere Classified,1439,Services Managers Not Elsewhere Classified
1319,General Managers Not Elsewhere Classified,1439,Services Managers Not Elsewhere Classified
2111,Physicists and Astronomers,2111,Physicists and Astronomers
2112,Meteorologists,2112,Meteorologists
2113,Chemists,2113,Chemists
2114,Geologists and Geophysicists,2114,Geologists and Geophysicists
2121,Mathematicians and Related Professionals,2120,"Mathematicians, Actuaries and Statisticians"
2122,Statisticians,2120,"Mathematicians, Actuaries and Statisticians"
2211,"Biologists, Botanists, Zoologists and Related Professionals",2131,"Biologists, Botanists, Zoologists and Related Professionals"
2212,"Pharmacologists, Pathologists and Related Professionals",2131,"Biologists, Botanists, Zoologists and Related Professionals"
2213,Agronomists and Related Professionals,2132,"Farming, Forestry and Fisheries Advisers"
3213,Farming and Forestry Advisers,2132,"Farming, Forestry and Fisheries Advisers"
2211,"Biologists, Botanists, Zoologists and Related Professionals",2133,Environmental Protection Professionals
