isco1988,isco1988_title,soc2010,soc2010_title
1110,Legislators,11-1031,Legislators
1120,Senior Government Officials,11-1011,Chief Executives
1120,Senior Government Officials,11-1021,General and Operations Managers
1120,Senior Government Officials,11-9161,Emergency Management Directors
1130,Traditional Chiefs and Heads of Villages,11-1011,Chief Executives
1130,Traditional Chiefs and Heads of Villages,11-1031,Legislators
1141,Senior Officials of Political-Party Organisations,11-1021,General and Operations Managers
1141,Senior Officials of Political-Party Organisations,11-2031,Public Relations and Fundraising Managers
1141,Senior Officials of Political-Party Organisations,11-9199,"Managers, All Other"
1142,"Senior Officials of Employers’, Workers’ and Other Economic-interest Organisations",11-1021,General and Operations Managers
1142,"Senior Officials of Employers’, Workers’ and Other Economic-interest Organisations",11-2031,Public Relations and Fundraising Managers
1142,"Senior Officials of Employers’, Workers’ and Other Economic-interest Organisations",11-9199,"Managers, All Other"
1143,Senior Officials of Humanitarian and Other Special-interest Organisations,11-1021,General and Operations Managers
1143,Senior Officials of Humanitarian and Other Special-interest Organisations,11-2031,Public Relations and Fundraising Managers
1143,Senior Officials of Humanitarian and Other Special-interest Organisations,11-9199,"Managers, All Other"
1210,Directors and Chief Executives,11-1011,Chief Executives
1210,Directors and Chief Executives,11-1021,General and Operations Managers
1221,"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
1222,Production and Operations Department Managers in Manufacturing,11-3051,Industrial Production Managers
1222,Production and Operations Department Managers in Manufacturing,11-9199,"Managers, All Other"
1223,Production and Operations Department Managers in Construction,11-9021,Construction Managers
1223,Production and Operations Department Managers in Construction,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
1224,Production and Operations Department Managers in Wholesale and Retail Trade,11-1021,General and Operations Managers
1225,Production and Operations Department Managers in Restaurants and Hotels,11-9051,Food Service Managers
1225,Production and Operations Department Managers in Restaurants and Hotels,11-9081,Lodging Managers
1226,"Production and Operations Department Managers in Transport, Storage and Communications",11-3021,Computer and Information Systems Managers
1226,"Production and Operations Department Managers in Transport, Storage and Communications",11-3071,"Transportation, Storage, and Distribution Managers"
1227,Production and Operations Department Managers in Business Services,11-1021,General and Operations Managers
1227,Production and Operations Department Managers in Business Services,11-2031,Public Relations and Fundraising Managers
1227,Production and Operations Department Managers in Business Services,11-3011,Administrative Services Managers
1227,Production and Operations Department Managers in Business Services,11-3031,Financial Managers
1227,Production and Operations Department Managers in Business Services,11-3061,Purchasing Managers
1227,Production and Operations Department Managers in Business Services,11-9061,Funeral Service Managers
1227,Production and Operations Department Managers in Business Services,11-9131,Postmasters and Mail Superintendents
1227,Production and Operations Department Managers in Business Services,11-9199,"Managers, All Other"
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",11-2031,Public Relations and Fundraising Managers
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",11-3011,Administrative Services Managers
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",11-3061,Purchasing Managers
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",11-9061,Funeral Service Managers
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",11-9131,Postmasters and Mail Superintendents
1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",11-9199,"Managers, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,11-1021,General and Operations Managers
