isco2008_code,isco2008_title,noc2011_code,noc2011_title,Explanatory_notes
0110,Commissioned armed forces officers,0433,Commissioned officers of the Canadian Forces,
0210,Non-commissioned armed forces officers,4313,Non-commissioned ranks of the Canadian Forces,Non-commissioned officers
0310,"Armed forces occupations, other ranks",4313,Non-commissioned ranks of the Canadian Forces,Except non-commissioned officers
1111,Legislators,0011,Legislators,Except traditional chiefs and heads of villages
1112,Senior government officials,0012,Senior government managers and officials,
1112,Senior government officials,0431,Commissioned police officers,Police commissioners
1113,Traditional chiefs and heads of villages,0011,Legislators,Traditional chiefs and heads of villages
1114,Senior officials of special-interest organizations,0014,"Senior managers - health, education, social and community services and membership organizations",Senior managers - membership organizations
1120,Managing directors and chief executives,0013,"Senior managers - financial, communications and other business services",
1120,Managing directors and chief executives,0014,"Senior managers - health, education, social and community services and membership organizations",Except senior managers - membership organizations
1120,Managing directors and chief executives,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",
1120,Managing directors and chief executives,0016,"Senior managers - construction, transportation, production and utilities",
1211,Finance managers,0111,Financial managers,
1211,Finance managers,0125,Other business services managers,Accounting and auditing firm managers
1212,Human resource managers,0112,Human resources managers,
1212,Human resource managers,0125,Other business services managers,Personnel agency managers and payroll service managers
1213,Policy and planning managers,0114,Other administrative services managers,Planning and organizational development managers
1213,Policy and planning managers,0125,Other business services managers,Organizational planning and development directors and organizational methods analysis directors
1213,Policy and planning managers,0411,Government managers - health and social policy development and program administration,
1213,Policy and planning managers,0412,"Government managers - economic analysis, policy development and program administration",
1213,Policy and planning managers,0413,Government managers - education policy development and program administration,
1213,Policy and planning managers,0414,Other managers in public administration,
1219,Business services and administration managers not elsewhere classified,0113,Purchasing managers,Except supply chain managers
1219,Business services and administration managers not elsewhere classified,0114,Other administrative services managers,Except planning and organizational development managers
1219,Business services and administration managers not elsewhere classified,0125,Other business services managers,Corporate services managers
1219,Business services and administration managers not elsewhere classified,0714,Facility operation and maintenance managers,"Except warehouse and distribution centre managers, airport managers, harbour masters, conference centre and shopping centre managers and recreation, sport and cultural facility managers)"
1221,Sales and marketing managers,0124,"Advertising, marketing and public relations managers",Marketing managers
1221,Sales and marketing managers,0601,Corporate sales managers,
1222,Advertising and public relations managers,0124,"Advertising, marketing and public relations managers",Advertising and public relations managers
1222,Advertising and public relations managers,0125,Other business services managers,Market research service managers
1223,Research and development managers,0211,Engineering managers,"Managers, engineering research and development"
1223,Research and development managers,0212,Architecture and science managers,Scientific research department managers
1311,Agricultural and forestry production managers,0811,Managers in natural resources production and fishing,Forestry operations manager
1311,Agricultural and forestry production managers,0821,Managers in agriculture,Large scale agricultural operation managers
1312,Aquaculture and fisheries production managers,0811,Managers in natural resources production and fishing,Fishing operations managers
1312,Aquaculture and fisheries production managers,0823,Managers in aquaculture,Except fish and oyster farmers
1321,Manufacturing managers,0911,Manufacturing managers,
1321,Manufacturing managers,0912,Utilities managers,Power plant and water and waste treatment managers
1322,Mining managers,0811,Managers in natural resources production and fishing,Mining operations managers
1323,Construction managers,0711,Construction managers,
1324,"Supply, distribution and related managers",0113,Purchasing managers,Supply chain managers
1324,"Supply, distribution and related managers",0132,Postal and courier services managers,
1324,"Supply, distribution and related managers",0714,Facility operation and maintenance managers,"Warehouse and distribution centre managers, airport managers and harbour masters"
1324,"Supply, distribution and related managers",0731,Managers in transportation,
1324,"Supply, distribution and related managers",0912,Utilities managers,"Directors, distribution systems - utilities"
1324,"Supply, distribution and related managers",7304,"Supervisors, railway transport operations",Stationmasters and yardmasters
1330,Information and communications technology service managers,0131,Telecommunication carriers managers,
1330,Information and communications technology service managers,0213,Computer and information systems managers,
1341,Child care services managers,0423,"Managers in social, community and correctional services",Child-care centre administrators
1342,Health services managers,0311,Managers in health care,Except nursing home directors - aged care
1343,Aged care services managers,0311,Managers in health care,Nursing home directors - aged care
1343,Aged care services managers,0423,"Managers in social, community and correctional services",Managers in social and community services - aged care
1344,Social welfare managers,0423,"Managers in social, community and correctional services","Managers in social and community services (except child-care centres, aged care and professional, political or trade organizations)"
1345,Education managers,0421,Administrators - post-secondary education and vocational training,
1345,Education managers,0422,School principals and administrators of elementary and secondary education,
1346,Financial and insurance services branch managers,0121,"Insurance, real estate and financial brokerage managers",
1346,Financial and insurance services branch managers,0122,"Banking, credit and other investment managers",
1349,Professional services managers not elsewhere classified,0125,Other business services managers,"Legal firm managers, conference services managers, security services managers and other professional business services managers"
1349,Professional services managers not elsewhere classified,0211,Engineering managers,"Except managers, engineering research and development"
1349,Professional services managers not elsewhere classified,0212,Architecture and science managers,Except scientific research department managers
1349,Professional services managers not elsewhere classified,0423,"Managers in social, community and correctional services","Correctional services managers, and labour, professional, political or trade organization/association managers"
1349,Professional services managers not elsewhere classified,0431,Commissioned police officers,Except police inspectors and commissioners
1349,Professional services managers not elsewhere classified,0432,Fire chiefs and senior firefighting officers,
1349,Professional services managers not elsewhere classified,0511,"Library, archive, museum and art gallery managers",
1349,Professional services managers not elsewhere classified,0512,"Managers - publishing, motion pictures, broadcasting and performing arts",
1349,Professional services managers not elsewhere classified,0513,"Recreation, sports and fitness program and service directors",Except sports and recreation centre directors
1411,Hotel managers,0632,Accommodation service managers,Except campground managers and bed and breakfast operators
1412,Restaurant managers,0631,Restaurant and food service managers,
1420,Retail and wholesale trade managers,0621,Retail and wholesale trade managers,"Except pawnbrokers, travel agency managers and certain shopkeepers"
1431,"Sports, recreation and cultural centre managers",0513,"Recreation, sports and fitness program and service directors",Sports and recreation centre directors
1431,"Sports, recreation and cultural centre managers",0651,"Managers in customer and personal services, n.e.c.",Billiard hall and movie theatre managers
1431,"Sports, recreation and cultural centre managers",0714,Facility operation and maintenance managers,"Recreation, sport and cultural facility managers"
1439,Services managers not elsewhere classified,0125,Other business services managers,Contact centre managers
1439,Services managers not elsewhere classified,0621,Retail and wholesale trade managers,Travel agency managers
1439,Services managers not elsewhere classified,0632,Accommodation service managers,Campground managers
1439,Services managers not elsewhere classified,0651,"Managers in customer and personal services, n.e.c.",Except billiard hall and movie theatre managers
1439,Services managers not elsewhere classified,0714,Facility operation and maintenance managers,Conference centre and shopping centre managers
2111,Physicists and astronomers,2111,Physicists and astronomers,
2111,Physicists and astronomers,2115,Other professional occupations in physical sciences,Ballisticians and astronauts
2112,Meteorologists,2114,Meteorologists and climatologists,
2113,Chemists,2112,Chemists,
2114,Geologists and geophysicists,2113,Geoscientists and oceanographers,
2120,"Mathematicians, actuaries and statisticians",2161,"Mathematicians, statisticians and actuaries",
2131,"Biologists, botanists, zoologists and related professionals",2121,Biologists and related scientists,Except ecologists and environmental biologists and toxicologists
2132,"Farming, forestry and fisheries advisers",2115,Other professional occupations in physical sciences,Soil scientists
2132,"Farming, forestry and fisheries advisers",2122,Forestry professionals,
2132,"Farming, forestry and fisheries advisers",2123,"Agricultural representatives, consultants and specialists",
2132,"Farming, forestry and fisheries advisers",2223,Forestry technologists and technicians,Silviculturists
2132,"Farming, forestry and fisheries advisers",4161,"Natural and applied science policy researchers, consultants and program officers",Fisheries analysts
2133,Environmental protection professionals,2121,Biologists and related scientists,"Ecologists, environmental biologists and environmental toxicologists"
2133,Environmental protection professionals,2224,Conservation and fishery officers,"Conservation officers, fisheries officers and park rangers"
2133,Environmental protection professionals,4161,"Natural and applied science policy researchers, consultants and program officers",Environmental consultants
2141,Industrial and production engineers,2141,Industrial and manufacturing engineers,Except environmental and industrial safety engineers
2142,Civil engineers,2131,Civil engineers,"Except environmental engineers, civil"
2142,Civil engineers,2144,Geological engineers,
2143,Environmental engineers,2131,Civil engineers,"Environmental engineers, civil"
2143,Environmental engineers,2134,Chemical engineers,"Environmental engineers, chemical"
