noc2006,noc2006_title,noc2011,noc2011_title
0,Management Occupations,0,Management occupations
1,"Business, Finance and Administration Occupations",1,"Business, finance and administration occupations"
2,Natural and Applied Sciences and Related Occupations,2,Natural and applied sciences and related occupations
3,Health Occupations,3,Health occupations
4,"Occupations in Social Science, Education, Government Service and Religion",4,"Occupations in education, law and social, community and government services"
5,"Occupations in Art, Culture, Recreation and Sport",5,"Occupations in art, culture, recreation and sport"
6,Sales and Service Occupations,6,Sales and service occupations
7,"Trades, Transport and Equipment Operators and Related Occupations",7,"Trades, transport and equipment operators and related occupations"
8,Occupations Unique to Primary Industry,8,"Natural resources, agriculture and related production occupations"
9,"Occupations Unique to Processing, Manufacturing and Utilities",9,Occupations in manufacturing and utilities
01-09,Middle and Other Management Occupations,01-05,Specialized middle management occupations
01-09,Middle and Other Management Occupations,06,Middle management occupations in retail and wholesale trade and customer services
01-09,Middle and Other Management Occupations,07-09,"Middle management occupations in trades, transportation, production and utilities"
01-09,Middle and Other Management Occupations,11,Professional occupations in business and finance
11,Professional Occupations in Business and Finance,11,Professional occupations in business and finance
12,Skilled Administrative and Business Occupations,12,Administrative and financial supervisors and administrative occupations
12,Skilled Administrative and Business Occupations,13,"Finance, insurance and related business administrative occupations"
12,Skilled Administrative and Business Occupations,62,Retail sales supervisors and specialized sales occupations
12,Skilled Administrative and Business Occupations,63,Service supervisors and specialized service occupations
14,Clerical Occupations,14,Office support occupations
14,Clerical Occupations,15,"Distribution, tracking and scheduling co-ordination occupations"
14,Clerical Occupations,65,Service representatives and other customer and personal services occupations
21,Professional Occupations in Natural and Applied Sciences,12,Administrative and financial supervisors and administrative occupations
21,Professional Occupations in Natural and Applied Sciences,21,Professional occupations in natural and applied sciences
31,Professional Occupations in Health,30,Professional occupations in nursing
31,Professional Occupations in Health,31,Professional occupations in health (except nursing)
32,Technical and Skilled Occupations in Health,31,Professional occupations in health (except nursing)
32,Technical and Skilled Occupations in Health,32,Technical occupations in health
32,Technical and Skilled Occupations in Health,34,Assisting occupations in support of health services
34,Assisting Occupations in Support of Health Services,32,Technical occupations in health
34,Assisting Occupations in Support of Health Services,34,Assisting occupations in support of health services
41,"Professional Occupations in Social Science, Education, Government Services and Religion",11,Professional occupations in business and finance
41,"Professional Occupations in Social Science, Education, Government Services and Religion",12,Administrative and financial supervisors and administrative occupations
41,"Professional Occupations in Social Science, Education, Government Services and Religion",31,Professional occupations in health (except nursing)
41,"Professional Occupations in Social Science, Education, Government Services and Religion",40,Professional occupations in education services
41,"Professional Occupations in Social Science, Education, Government Services and Religion",41,"Professional occupations in law and social, community and government services"
41,"Professional Occupations in Social Science, Education, Government Services and Religion",52,"Technical occupations in art, culture, recreation and sport"
42,"Paraprofessional Occupations in Law, Social Services, Education and Religion",12,Administrative and financial supervisors and administrative occupations
42,"Paraprofessional Occupations in Law, Social Services, Education and Religion",41,"Professional occupations in law and social, community and government services"
42,"Paraprofessional Occupations in Law, Social Services, Education and Religion",42,"Paraprofessional occupations in legal, social, community and education services"
42,"Paraprofessional Occupations in Law, Social Services, Education and Religion",43,Occupations in front-line public protection services
42,"Paraprofessional Occupations in Law, Social Services, Education and Religion",44,"Care providers and educational, legal and public protection support occupations"
51,Professional Occupations in Art and Culture,11,Professional occupations in business and finance
51,Professional Occupations in Art and Culture,51,Professional occupations in art and culture
52,"Technical and Skilled Occupations in Art, Culture, Recreation and Sport",14,Office support occupations
52,"Technical and Skilled Occupations in Art, Culture, Recreation and Sport",52,"Technical occupations in art, culture, recreation and sport"
62,Skilled Sales and Service Occupations,06,Middle management occupations in retail and wholesale trade and customer services
62,Skilled Sales and Service Occupations,43,Occupations in front-line public protection services
62,Skilled Sales and Service Occupations,62,Retail sales supervisors and specialized sales occupations
62,Skilled Sales and Service Occupations,63,Service supervisors and specialized service occupations
64,Intermediate Sales and Service Occupations,43,Occupations in front-line public protection services
64,Intermediate Sales and Service Occupations,44,"Care providers and educational, legal and public protection support occupations"
64,Intermediate Sales and Service Occupations,52,"Technical occupations in art, culture, recreation and sport"
64,Intermediate Sales and Service Occupations,63,Service supervisors and specialized service occupations
64,Intermediate Sales and Service Occupations,64,Sales representatives and salespersons - wholesale and retail trade
64,Intermediate Sales and Service Occupations,65,Service representatives and other customer and personal services occupations
72/73,Trades and Skilled Transport and Equipment Operators,63,Service supervisors and specialized service occupations
72/73,Trades and Skilled Transport and Equipment Operators,72,"Industrial, electrical and construction trades"
72/73,Trades and Skilled Transport and Equipment Operators,73,Maintenance and equipment operation trades
72/73,Trades and Skilled Transport and Equipment Operators,92,"Processing, manufacturing and utilities supervisors and central control operators"
74,"Intermediate Occupations in Transport, Equipment Operation, Installation and Maintenance",67,"Service support and other service occupations, n.e.c."
74,"Intermediate Occupations in Transport, Equipment Operation, Installation and Maintenance",74,"Other installers, repairers and servicers and material handlers"
74,"Intermediate Occupations in Transport, Equipment Operation, Installation and Maintenance",75,Transport and heavy equipment operation and related maintenance occupations
76,"Trades Helpers, Construction Labourers and Related Occupations",75,Transport and heavy equipment operation and related maintenance occupations
