code,title,Level,Hierarchical_structure,parent,noc1d,noc2d,noc3d,noc4d
0,Management occupations,1,Broad occupational category,NA,0,NA,NA,NA
00,Senior management occupations,2,Major group,0,0,00,NA,NA
001,Legislators and senior management,3,Minor group,00,0,00,001,NA
0011,Legislators,4,Unit group,001,0,00,001,0011
0012,Senior government managers and officials,4,Unit group,001,0,00,001,0012
0013,"Senior managers - financial, communications and other business services",4,Unit group,001,0,00,001,0013
0014,"Senior managers - health, education, social and community services and membership organizations",4,Unit group,001,0,00,001,0014
0015,"Senior managers - trade, broadcasting and other services, n.e.c.",4,Unit group,001,0,00,001,0015
0016,"Senior managers - construction, transportation, production and utilities",4,Unit group,001,0,00,001,0016
01-05,Specialized middle management occupations,2,Major group,0,0,01-05,NA,NA
011,Administrative services managers,3,Minor group,01-05,0,01-05,011,NA
0111,Financial managers,4,Unit group,011,0,01-05,011,0111
0112,Human resources managers,4,Unit group,011,0,01-05,011,0112
0113,Purchasing managers,4,Unit group,011,0,01-05,011,0113
0114,Other administrative services managers,4,Unit group,011,0,01-05,011,0114
012,Managers in financial and business services,3,Minor group,01-05,0,01-05,012,NA
0121,"Insurance, real estate and financial brokerage managers",4,Unit group,012,0,01-05,012,0121
0122,"Banking, credit and other investment managers",4,Unit group,012,0,01-05,012,0122
0124,"Advertising, marketing and public relations managers",4,Unit group,012,0,01-05,012,0124
0125,Other business services managers,4,Unit group,012,0,01-05,012,0125
013,Managers in communication (except broadcasting),3,Minor group,01-05,0,01-05,013,NA
0131,Telecommunication carriers managers,4,Unit group,013,0,01-05,013,0131
0132,Postal and courier services managers,4,Unit group,013,0,01-05,013,0132
021,"Managers in engineering, architecture, science and information systems",3,Minor group,01-05,0,01-05,021,NA
0211,Engineering managers,4,Unit group,021,0,01-05,021,0211
0212,Architecture and science managers,4,Unit group,021,0,01-05,021,0212
0213,Computer and information systems managers,4,Unit group,021,0,01-05,021,0213
031,Managers in health care,3,Minor group,01-05,0,01-05,031,NA
0311,Managers in health care,4,Unit group,031,0,01-05,031,0311
041,Managers in public administration,3,Minor group,01-05,0,01-05,041,NA
0411,Government managers - health and social policy development and program administration,4,Unit group,041,0,01-05,041,0411
0412,"Government managers - economic analysis, policy development and program administration",4,Unit group,041,0,01-05,041,0412
0413,Government managers - education policy development and program administration,4,Unit group,041,0,01-05,041,0413
0414,Other managers in public administration,4,Unit group,041,0,01-05,041,0414
042,Managers in education and social and community services,3,Minor group,01-05,0,01-05,042,NA
0421,Administrators - post-secondary education and vocational training,4,Unit group,042,0,01-05,042,0421
0422,School principals and administrators of elementary and secondary education,4,Unit group,042,0,01-05,042,0422
0423,"Managers in social, community and correctional services",4,Unit group,042,0,01-05,042,0423
043,Managers in public protection services,3,Minor group,01-05,0,01-05,043,NA
0431,Commissioned police officers,4,Unit group,043,0,01-05,043,0431
0432,Fire chiefs and senior firefighting officers,4,Unit group,043,0,01-05,043,0432
0433,Commissioned officers of the Canadian Forces,4,Unit group,043,0,01-05,043,0433
051,"Managers in art, culture, recreation and sport",3,Minor group,01-05,0,01-05,051,NA
0511,"Library, archive, museum and art gallery managers",4,Unit group,051,0,01-05,051,0511
0512,"Managers - publishing, motion pictures, broadcasting and performing arts",4,Unit group,051,0,01-05,051,0512
0513,"Recreation, sports and fitness program and service directors",4,Unit group,051,0,01-05,051,0513
06,Middle management occupations in retail and wholesale trade and customer services,2,Major group,0,0,06,NA,NA
060,Corporate sales managers,3,Minor group,06,0,06,060,NA
0601,Corporate sales managers,4,Unit group,060,0,06,060,0601
062,Retail and wholesale trade managers,3,Minor group,06,0,06,062,NA
