noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
0011,Legislators,1111,Legislators,
0011,Legislators,1113,Traditional chiefs and heads of villages,
0012,Senior government managers and officials,1112,Senior government officials,Except police commissioners
0013,"Senior managers - financial, communications and other business services",1120,Managing directors and chief executives,"Senior managers - financial, communications and other business services"
0014,"Senior managers - health, education, social and community services and membership organizations",1114,Senior officials of special-interest organizations,
0014,"Senior managers - health, education, social and community services and membership organizations",1120,Managing directors and chief executives,"Senior managers - health, education, social and community services (except senior managers - membership organizations)"
0015,"Senior managers - trade, broadcasting and other services, n.e.c.",1120,Managing directors and chief executives,"Senior managers - trade, broadcasting and other services, n.e.c."
0016,"Senior managers - construction, transportation, production and utilities",1120,Managing directors and chief executives,"Senior managers - construction, transportation, production and utilities"
0111,Financial managers,1211,Finance managers,Except accounting and auditing firm managers
0112,Human resources managers,1212,Human resource managers,Except personnel agency managers and payroll service managers
0113,Purchasing managers,1219,Business services and administration managers not elsewhere classified,Purchasing managers (except supply chain managers)
0113,Purchasing managers,1324,"Supply, distribution and related managers",Supply chain managers
0114,Other administrative services managers,1213,Policy and planning managers,Planning and organizational development managers
0114,Other administrative services managers,1219,Business services and administration managers not elsewhere classified,Other administrative services managers (except planning and organizational development managers)
0121,"Insurance, real estate and financial brokerage managers",1346,Financial and insurance services branch managers,"Insurance, real estate and financial brokerage managers"
0122,"Banking, credit and other investment managers",1346,Financial and insurance services branch managers,"Banking, credit and other investment managers"
0124,"Advertising, marketing and public relations managers",1221,Sales and marketing managers,Marketing managers
0124,"Advertising, marketing and public relations managers",1222,Advertising and public relations managers,Except market research service managers
0125,Other business services managers,1211,Finance managers,Accounting and auditing firm managers
0125,Other business services managers,1212,Human resource managers,Personnel agency managers and payroll service managers
0125,Other business services managers,1213,Policy and planning managers,Organizational planning and development directors and organizational methods analysis directors
0125,Other business services managers,1219,Business services and administration managers not elsewhere classified,Corporate services managers
0125,Other business services managers,1222,Advertising and public relations managers,Market research service managers
0125,Other business services managers,1349,Professional services managers not elsewhere classified,"Legal firm managers, conference services managers, security services managers and other professional  business services managers"
0125,Other business services managers,1439,Services managers not elsewhere classified,Contact centre managers
0131,Telecommunication carriers managers,1330,Information and communications technology service managers,Telecommunication carriers managers
0132,Postal and courier services managers,1324,"Supply, distribution and related managers",Postal and courier services managers
0211,Engineering managers,1223,Research and development managers,"Managers, engineering research and development"
0211,Engineering managers,1349,Professional services managers not elsewhere classified,Engineering managers (except research and development managers)
0212,Architecture and science managers,1223,Research and development managers,Scientific research department managers
0212,Architecture and science managers,1349,Professional services managers not elsewhere classified,Architecture and science managers (except research and development managers)
0213,Computer and information systems managers,1330,Information and communications technology service managers,Computer and information systems managers
0311,Managers in health care,1342,Health services managers,
0311,Managers in health care,1343,Aged care services managers,Nursing home directors - aged care
0411,Government managers - health and social policy development and program administration,1213,Policy and planning managers,Government managers - health and social policy development and program administration
0412,"Government managers - economic analysis, policy development and program administration",1213,Policy and planning managers,"Government managers - economic analysis, policy development and program administration"
0413,Government managers - education policy development and program administration,1213,Policy and planning managers,Government managers - education policy development and program administration
0414,Other managers in public administration,1213,Policy and planning managers,Other managers in public administration
0421,Administrators - post-secondary education and vocational training,1345,Education managers,Administrators - post-secondary education and vocational training
0422,School principals and administrators of elementary and secondary education,1345,Education managers,School principals and administrators of elementary and secondary education
0423,"Managers in social, community and correctional services",1341,Child care services managers,
0423,"Managers in social, community and correctional services",1343,Aged care services managers,Managers in social and community services - aged care
0423,"Managers in social, community and correctional services",1344,Social welfare managers,
0423,"Managers in social, community and correctional services",1349,Professional services managers not elsewhere classified,"Correctional services managers, and labour, professional, political or trade organization/association managers"
0431,Commissioned police officers,1112,Senior government officials,Police commissioners
0431,Commissioned police officers,1349,Professional services managers not elsewhere classified,Commissioned police officers (except police inspectors and commissioners)
0431,Commissioned police officers,3355,Police inspectors and detectives,Police inspectors
0432,Fire chiefs and senior firefighting officers,1349,Professional services managers not elsewhere classified,Fire chiefs and senior firefighting officers
0433,Commissioned officers of the Canadian Forces,0110,Commissioned armed forces officers,
0511,"Library, archive, museum and art gallery managers",1349,Professional services managers not elsewhere classified,"Library, archive, museum and art gallery managers"
0512,"Managers - publishing, motion pictures, broadcasting and performing arts",1349,Professional services managers not elsewhere classified,"Managers - publishing, motion pictures, broadcasting and performing arts"
0513,"Recreation, sports and fitness program and service directors",1349,Professional services managers not elsewhere classified,"Recreation, sports and fitness program and service directors (except sports and recreation centre directors)"
0513,"Recreation, sports and fitness program and service directors",1431,"Sports, recreation and cultural centre managers",Sports and recreation centre directors
0601,Corporate sales managers,1221,Sales and marketing managers,Corporate sales managers
0621,Retail and wholesale trade managers,1420,Retail and wholesale trade managers,
0621,Retail and wholesale trade managers,1439,Services managers not elsewhere classified,Travel agency managers
0621,Retail and wholesale trade managers,4213,Pawnbrokers and money-lenders,
0621,Retail and wholesale trade managers,5221,Shopkeepers,
0631,Restaurant and food service managers,1412,Restaurant managers,
0632,Accommodation service managers,1411,Hotel managers,
0632,Accommodation service managers,1439,Services managers not elsewhere classified,Campground managers
0632,Accommodation service managers,5152,Domestic housekeepers,Bed and breakfast operators
0651,"Managers in customer and personal services, n.e.c.",1431,"Sports, recreation and cultural centre managers",Billiard hall and movie theatre managers
0651,"Managers in customer and personal services, n.e.c.",1439,Services managers not elsewhere classified,"Managers in customer and personal services, n.e.c. (except billiard hall and movie theatre managers)"
0711,Construction managers,1323,Construction managers,
0712,Home building and renovation managers,7111,House builders,
0714,Facility operation and maintenance managers,1219,Business services and administration managers not elsewhere classified,"Facility operation and maintenance managers (except warehouse and distribution centre managers, airport managers, harbour masters, conference centre managers, shopping centre managers and recreation, sport or cultural facility managers)"
0714,Facility operation and maintenance managers,1324,"Supply, distribution and related managers","Warehouse and distribution centre managers, airport managers and harbour masters"
