noc2011_code,soc2010_code
0011,11-1011
0011,11-1031
0012,11-1011
0012,11-1021
0012,11-9161
0013,11-1011
0013,11-1021
0014,11-1011
0014,11-1021
0014,11-2031
0014,11-9199
0015,11-1011
0015,11-1021
0016,11-1011
0016,11-1021
0111,11-3031
0112,11-3111
0112,11-3121
0112,11-3131
0113,11-2031
0113,11-3011
0113,11-3061
0113,11-3071
0113,11-9061
0113,11-9131
0113,11-9199
0114,11-2031
0114,11-3011
0114,11-3061
0114,11-9061
0114,11-9131
0114,11-9199
0121,11-1021
0121,11-3031
0122,11-1021
0122,11-3031
0124,11-2011
0124,11-2021
0124,11-2022
0124,11-2031
0125,11-2011
0125,11-2031
0125,11-3011
0125,11-3031
0125,11-3061
0125,11-3111
0125,11-3121
0125,11-3131
0125,11-9061
0125,11-9131
0125,11-9199
0131,11-3021
0132,11-3071
0211,11-9041
0211,11-9121
0211,11-9199
0212,11-9041
0212,11-9121
0212,11-9199
0213,11-3021
0311,11-1021
0311,11-9111
0411,11-9199
0412,11-9199
0413,11-9199
0414,11-9199
0421,11-9032
0421,11-9033
0421,11-9039
0422,11-9032
0422,11-9033
0422,11-9039
0423,11-1021
0423,11-9031
0423,11-9111
0423,11-9151
0423,11-9199
0431,11-1011
0431,11-1021
0431,11-9161
0431,11-9199
0431,33-1012
0431,33-3021
0432,11-9199
0433,55-1011
0433,55-1012
0433,55-1013
0433,55-1014
0433,55-1015
0433,55-1016
0433,55-1017
0433,55-1019
0511,11-9199
0512,11-9199
0513,11-9071
0513,11-9199
0601,11-2021
0601,11-2022
0621,11-1021
0621,11-9199
0621,41-9099
0621,43-3099
0631,11-9051
0632,11-9081
0632,11-9199
0632,37-1011
0632,39-9099
0651,11-9071
0651,11-9199
0711,11-9021
0712,11-9021
0714,11-2031
0714,11-3011
0714,11-3061
0714,11-3071
0714,11-9061
0714,11-9071
0714,11-9131
0714,11-9199
0731,11-3071
0811,11-9013
0811,11-9199
0821,11-9013
0821,37-1012
0821,37-3013
0821,45-1011
0821,45-2021
0821,45-2091
0822,37-1012
0822,37-3013
0822,45-2091
0823,11-9013
0823,45-1011
0823,45-2021
0911,11-3051
0912,11-3051
0912,11-3071
1111,13-2011
1111,13-2031
1111,13-2082
1112,13-2041
1112,13-2051
1112,13-2061
1113,41-1012
1113,41-3031
1113,43-5011
1114,13-2041
1114,13-2051
1114,13-2052
1114,13-2061
1114,13-2071
1114,13-2072
1114,41-1012
1114,41-3031
1121,13-1071
1121,13-1075
1121,13-1141
1121,13-1151
1121,21-1012
1122,13-1081
1122,13-1111
1122,25-4011
1122,25-4012
1123,13-1011
1123,13-1051
1123,13-1161
1123,13-1199
1123,13-2099
1123,27-3031
1123,27-3043
1123,41-1012
1123,41-3011
1123,41-3041
1123,41-9099
1211,43-1011
1211,43-9031
1211,51-5111
1212,43-1011
1213,13-1041
1213,43-1011
1213,43-4031
1213,43-5041
1213,49-9091
1214,43-1011
1215,43-1011
1215,43-5011
1215,43-5071
1221,23-2091
1221,43-6011
1222,23-2091
1222,43-6011
1223,13-1071
1223,13-1074
1224,11-9141
1224,41-1012
1224,41-9021
1224,41-9022
1225,13-1021
1225,13-1022
1225,13-1023
1226,13-1121
1227,23-1012
1227,23-2011
1227,23-2093
1227,23-2099
1227,33-3011
1227,33-9021
1227,33-9031
1228,13-1041
1228,13-2081
1228,33-1012
1228,33-3051
1228,43-4061
1241,23-2091
1241,43-6011
1241,43-6014
1242,23-1012
1242,23-2011
1242,23-2093
1242,23-2099
1242,33-3011
1242,33-9021
1242,33-9031
1242,43-6012
1243,31-9094
1243,43-6013
1251,23-2091
1251,31-9094
1251,43-6011
1251,43-6013
1251,43-9022
1252,29-2071
1253,43-4071
1253,43-9071
1254,15-2091
1254,15-2099
1254,19-4061
1254,43-9111
1311,43-3031
1312,13-1031
1312,13-1032
1312,13-2021
1313,13-2053
1313,41-1012
1313,41-3021
1314,13-1031
1314,13-1032
1314,13-2021
1315,41-1012
1315,41-3031
1315,43-5011
1315,43-5071
1411,29-2071
1411,39-1021
1411,39-9021
1411,43-3061
1411,43-4071
1411,43-9022
1411,43-9061
1411,43-9071
1414,43-2011
1414,43-2021
1414,43-2099
1414,43-4061
1414,43-4171
1414,43-4199
1415,43-4161
1416,23-1012
1416,23-2011
1416,23-2093
1416,23-2099
1416,33-3011
1416,33-9021
1416,33-9031
1422,43-9021
1423,43-9031
1423,51-5111
1431,43-3021
1431,43-3031
1431,43-3099
1431,43-4011
1431,43-4041
1431,43-4131
1431,43-4141
1431,43-9041
1432,43-3051
1434,43-3099
1434,43-4011
1434,43-4041
1434,43-4131
1434,43-4141
1434,43-9041
1435,13-1131
1435,43-3011
1451,25-4031
1451,43-4121
1452,13-1041
1452,43-4021
1452,43-4031
1452,43-4151
1452,43-4199
1452,43-9081
1452,43-9199
1454,43-3099
1454,43-4011
1454,43-4041
1454,43-4111
1454,43-4131
1454,43-4141
1454,43-5041
1454,43-9041
1454,43-9081
1454,49-9091
1511,43-3071
1511,43-5021
1511,43-5051
1511,43-5052
1511,43-5053
1511,43-9051
1512,43-5021
1512,43-5051
1512,43-5052
1512,43-5053
