noc2016_code,soc2010_code
0011,11-1031
0012,11-1011
0013,11-1011
0014,11-1011
0014,11-1021
0014,11-9111
0015,11-1011
0015,11-1021
0016,11-1011
0111,11-3031
0112,11-3111
0112,11-3121
0112,11-3131
0113,11-3061
0114,11-3011
0114,11-9111
0121,11-3031
0121,11-9141
0121,41-9021
0122,11-3031
0124,11-2011
0124,11-2021
0124,11-2031
0125,11-9199
0131,11-1021
0132,11-3011
0132,11-9131
0211,11-9041
0212,11-9041
0212,11-9121
0212,19-3051
0213,11-3021
0213,11-9199
0213,13-1199
0213,15-1199
0311,11-9111
0411,11-3011
0412,11-3011
0413,11-3011
0414,11-1021
0414,11-3011
0414,11-9161
0421,11-3011
0421,11-9033
0421,11-9039
0422,11-1011
0422,11-9032
0423,11-9031
0423,11-9151
0423,21-2021
0431,11-1021
0431,33-1012
0432,11-1021
0432,33-2021
0433,11-1021
0433,55-1011
0433,55-1012
0433,55-1013
0433,55-1014
0433,55-1015
0433,55-1016
0433,55-1017
0433,55-1019
0511,11-1021
0512,11-1021
0513,11-9071
0513,11-9199
0601,11-2022
0621,11-1021
0621,11-2022
0621,41-1011
0631,11-9051
0632,11-9081
0632,11-9111
0632,11-9199
0632,39-9041
0651,11-9199
0711,11-9021
0711,11-9199
0711,13-1199
0711,15-1199
0712,11-9021
0714,11-3011
0714,11-3071
0714,11-9199
0731,11-3071
0811,11-1021
0811,11-9013
0821,11-9013
0821,45-2021
0822,11-9013
0823,11-9013
0911,11-3051
0911,13-1081
0912,11-1021
0912,11-3051
1111,13-2011
1112,13-2051
1112,13-2099
1113,41-3031
1114,13-2052
1114,13-2061
1114,13-2072
1114,13-2099
1121,13-1041
1121,13-1075
1121,13-1141
1121,13-1151
1121,23-1022
1122,13-1111
1123,13-1011
1123,13-1131
1123,13-1161
1123,27-3031
1123,41-3011
1211,43-1011
1212,43-1011
1213,43-1011
1214,43-1011
1215,43-1011
1215,53-1011
1215,53-1021
1215,53-1031
