Level,Hierarchical_structure,noc_code,noc_title,Parent
1,Broad occupational category,0,Management occupations,
2,Major group,00,Senior management occupations,0
3,Minor group,001,Legislators and senior management,00
4,Unit group,0011,Legislators,001
4,Unit group,0012,Senior government managers and officials,001
4,Unit group,0013,"Senior managers - financial, communications and other business services",001
4,Unit group,0014,"Senior managers - health, education, social and community services and membership organizations",001
4,Unit group,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",001
4,Unit group,0016,"Senior managers - construction, transportation, production and utilities",001
2,Major group,01-05,Specialized middle management occupations,0
3,Minor group,011,Administrative services managers,01-05
4,Unit group,0111,Financial managers,011
4,Unit group,0112,Human resources managers,011
4,Unit group,0113,Purchasing managers,011
4,Unit group,0114,Other administrative services managers,011
3,Minor group,012,Managers in financial and business services,01-05
4,Unit group,0121,"Insurance, real estate and financial brokerage managers",012
4,Unit group,0122,"Banking, credit and other investment managers",012
4,Unit group,0124,"Advertising, marketing and public relations managers",012
4,Unit group,0125,Other business services managers,012
3,Minor group,013,Managers in communication (except broadcasting),01-05
4,Unit group,0131,Telecommunication carriers managers,013
4,Unit group,0132,Postal and courier services managers,013
3,Minor group,021,"Managers in engineering, architecture, science and information systems",01-05
4,Unit group,0211,Engineering managers,021
4,Unit group,0212,Architecture and science managers,021
4,Unit group,0213,Computer and information systems managers,021
3,Minor group,031,Managers in health care,01-05
4,Unit group,0311,Managers in health care,031
3,Minor group,041,Managers in public administration,01-05
4,Unit group,0411,Government managers - health and social policy development and program administration,041
4,Unit group,0412,"Government managers - economic analysis, policy development and program administration",041
4,Unit group,0413,Government managers - education policy development and program administration,041
4,Unit group,0414,Other managers in public administration,041
3,Minor group,042,Managers in education and social and community services,01-05
4,Unit group,0421,Administrators - post-secondary education and vocational training,042
4,Unit group,0422,School principals and administrators of elementary and secondary education,042
4,Unit group,0423,"Managers in social, community and correctional services",042
3,Minor group,043,Managers in public protection services,01-05
4,Unit group,0431,Commissioned police officers,043
4,Unit group,0432,Fire chiefs and senior firefighting officers,043
4,Unit group,0433,Commissioned officers of the Canadian Armed Forces,043
3,Minor group,051,"Managers in art, culture, recreation and sport",01-05
4,Unit group,0511,"Library, archive, museum and art gallery managers",051
4,Unit group,0512,"Managers - publishing, motion pictures, broadcasting and performing arts",051
4,Unit group,0513,"Recreation, sports and fitness program and service directors",051
2,Major group,06,Middle management occupations in retail and wholesale trade and customer services,0
3,Minor group,060,Corporate sales managers,06
4,Unit group,0601,Corporate sales managers,060
3,Minor group,062,Retail and wholesale trade managers,06
4,Unit group,0621,Retail and wholesale trade managers,062
3,Minor group,063,Managers in food service and accommodation,06
4,Unit group,0631,Restaurant and food service managers,063
4,Unit group,0632,Accommodation service managers,063
3,Minor group,065,"Managers in customer and personal services, n.e.c.",06
4,Unit group,0651,"Managers in customer and personal services, n.e.c.",065
2,Major group,07-09,"Middle management occupations in trades, transportation, production and utilities",0
3,Minor group,071,Managers in construction and facility operation and maintenance,07-09
4,Unit group,0711,Construction managers,071
4,Unit group,0712,Home building and renovation managers,071
4,Unit group,0714,Facility operation and maintenance managers,071
3,Minor group,073,Managers in transportation,07-09
4,Unit group,0731,Managers in transportation,073
3,Minor group,081,Managers in natural resources production and fishing,07-09
4,Unit group,0811,Managers in natural resources production and fishing,081
3,Minor group,082,"Managers in agriculture, horticulture and aquaculture",07-09
4,Unit group,0821,Managers in agriculture,082
4,Unit group,0822,Managers in horticulture,082
4,Unit group,0823,Managers in aquaculture,082
3,Minor group,091,Managers in manufacturing and utilities,07-09
4,Unit group,0911,Manufacturing managers,091
4,Unit group,0912,Utilities managers,091
1,Broad occupational category,1,"Business, finance and administration occupations",
2,Major group,11,Professional occupations in business and finance,1
3,Minor group,111,"Auditors, accountants and investment professionals",11
4,Unit group,1111,Financial auditors and accountants,111
4,Unit group,1112,Financial and investment analysts,111
4,Unit group,1113,"Securities agents, investment dealers and brokers",111
4,Unit group,1114,Other financial officers,111
3,Minor group,112,Human resources and business service professionals,11
4,Unit group,1121,Human resources professionals,112
4,Unit group,1122,Professional occupations in business management consulting,112
4,Unit group,1123,"Professional occupations in advertising, marketing and public relations",112
2,Major group,12,Administrative and financial supervisors and administrative occupations,1
3,Minor group,121,Administrative services supervisors,12
4,Unit group,1211,"Supervisors, general office and administrative support workers",121
4,Unit group,1212,"Supervisors, finance and insurance office workers",121
4,Unit group,1213,"Supervisors, library, correspondence and related information workers",121
4,Unit group,1214,"Supervisors, mail and message distribution occupations",121
4,Unit group,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",121
3,Minor group,122,Administrative and regulatory occupations,12
4,Unit group,1221,Administrative officers,122
4,Unit group,1222,Executive assistants,122
4,Unit group,1223,Human resources and recruitment officers,122
4,Unit group,1224,Property administrators,122
4,Unit group,1225,Purchasing agents and officers,122
4,Unit group,1226,Conference and event planners,122
4,Unit group,1227,Court officers and justices of the peace,122
4,Unit group,1228,"Employment insurance, immigration, border services and revenue officers",122
3,Minor group,124,"Office administrative assistants - general, legal and medical",12
4,Unit group,1241,Administrative assistants,124
4,Unit group,1242,Legal administrative assistants,124
4,Unit group,1243,Medical administrative assistants,124
3,Minor group,125,"Court reporters, transcriptionists, records management technicians and statistical officers",12
4,Unit group,1251,"Court reporters, medical transcriptionists and related occupations",125
4,Unit group,1252,Health information management occupations,125
4,Unit group,1253,Records management technicians,125
4,Unit group,1254,Statistical officers and related research support occupations,125
2,Major group,13,"Finance, insurance and related business administrative occupations",1
3,Minor group,131,"Finance, insurance and related business administrative occupations",13
4,Unit group,1311,Accounting technicians and bookkeepers,131
4,Unit group,1312,Insurance adjusters and claims examiners,131
4,Unit group,1313,Insurance underwriters,131
4,Unit group,1314,"Assessors, valuators and appraisers",131
4,Unit group,1315,"Customs, ship and other brokers",131
2,Major group,14,Office support occupations,1
3,Minor group,141,General office workers,14
4,Unit group,1411,General office support workers,141
4,Unit group,1414,Receptionists,141
