code,title,noc1d,noc2d,noc3d,noc4d,Level,Hierarchical_structure
0,Management occupations,0,NA,NA,NA,1,Broad occupational category
00,Senior management occupations,0,00,NA,NA,2,Major group
001,Legislators and senior management,0,00,001,NA,3,Minor group
0011,Legislators,0,00,001,0011,4,Unit group
0012,Senior government managers and officials,0,00,001,0012,4,Unit group
0013,"Senior managers - financial, communications and other business services",0,00,001,0013,4,Unit group
0014,"Senior managers - health, education, social and community services and membership organizations",0,00,001,0014,4,Unit group
0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,00,001,0015,4,Unit group
0016,"Senior managers - construction, transportation, production and utilities",0,00,001,0016,4,Unit group
01-05,Specialized middle management occupations,0,01-05,NA,NA,2,Major group
011,Administrative services managers,0,01-05,011,NA,3,Minor group
0111,Financial managers,0,01-05,011,0111,4,Unit group
0112,Human resources managers,0,01-05,011,0112,4,Unit group
0113,Purchasing managers,0,01-05,011,0113,4,Unit group
0114,Other administrative services managers,0,01-05,011,0114,4,Unit group
012,Managers in financial and business services,0,01-05,012,NA,3,Minor group
0121,"Insurance, real estate and financial brokerage managers",0,01-05,012,0121,4,Unit group
0122,"Banking, credit and other investment managers",0,01-05,012,0122,4,Unit group
0124,"Advertising, marketing and public relations managers",0,01-05,012,0124,4,Unit group
0125,Other business services managers,0,01-05,012,0125,4,Unit group
013,Managers in communication (except broadcasting),0,01-05,013,NA,3,Minor group
0131,Telecommunication carriers managers,0,01-05,013,0131,4,Unit group
0132,Postal and courier services managers,0,01-05,013,0132,4,Unit group
021,"Managers in engineering, architecture, science and information systems",0,01-05,021,NA,3,Minor group
0211,Engineering managers,0,01-05,021,0211,4,Unit group
0212,Architecture and science managers,0,01-05,021,0212,4,Unit group
0213,Computer and information systems managers,0,01-05,021,0213,4,Unit group
031,Managers in health care,0,01-05,031,NA,3,Minor group
0311,Managers in health care,0,01-05,031,0311,4,Unit group
041,Managers in public administration,0,01-05,041,NA,3,Minor group
0411,Government managers - health and social policy development and program administration,0,01-05,041,0411,4,Unit group
0412,"Government managers - economic analysis, policy development and program administration",0,01-05,041,0412,4,Unit group
0413,Government managers - education policy development and program administration,0,01-05,041,0413,4,Unit group
0414,Other managers in public administration,0,01-05,041,0414,4,Unit group
042,Managers in education and social and community services,0,01-05,042,NA,3,Minor group
0421,Administrators - post-secondary education and vocational training,0,01-05,042,0421,4,Unit group
0422,School principals and administrators of elementary and secondary education,0,01-05,042,0422,4,Unit group
0423,"Managers in social, community and correctional services",0,01-05,042,0423,4,Unit group
043,Managers in public protection services,0,01-05,043,NA,3,Minor group
0431,Commissioned police officers,0,01-05,043,0431,4,Unit group
0432,Fire chiefs and senior firefighting officers,0,01-05,043,0432,4,Unit group
0433,Commissioned officers of the Canadian Forces,0,01-05,043,0433,4,Unit group
051,"Managers in art, culture, recreation and sport",0,01-05,051,NA,3,Minor group
0511,"Library, archive, museum and art gallery managers",0,01-05,051,0511,4,Unit group
0512,"Managers - publishing, motion pictures, broadcasting and performing arts",0,01-05,051,0512,4,Unit group
0513,"Recreation, sports and fitness program and service directors",0,01-05,051,0513,4,Unit group
06,Middle management occupations in retail and wholesale trade and customer services,0,06,NA,NA,2,Major group
060,Corporate sales managers,0,06,060,NA,3,Minor group
0601,Corporate sales managers,0,06,060,0601,4,Unit group
062,Retail and wholesale trade managers,0,06,062,NA,3,Minor group
0621,Retail and wholesale trade managers,0,06,062,0621,4,Unit group
063,Managers in food service and accommodation,0,06,063,NA,3,Minor group
0631,Restaurant and food service managers,0,06,063,0631,4,Unit group
0632,Accommodation service managers,0,06,063,0632,4,Unit group
065,"Managers in customer and personal services, n.e.c.",0,06,065,NA,3,Minor group
0651,"Managers in customer and personal services, n.e.c.",0,06,065,0651,4,Unit group
07-09,"Middle management occupations in trades, transportation, production and utilities",0,07-09,NA,NA,2,Major group
071,Managers in construction and facility operation and maintenance,0,07-09,071,NA,3,Minor group
0711,Construction managers,0,07-09,071,0711,4,Unit group
0712,Home building and renovation managers,0,07-09,071,0712,4,Unit group
0714,Facility operation and maintenance managers,0,07-09,071,0714,4,Unit group
073,Managers in transportation,0,07-09,073,NA,3,Minor group
0731,Managers in transportation,0,07-09,073,0731,4,Unit group
081,Managers in natural resources production and fishing,0,07-09,081,NA,3,Minor group
0811,Managers in natural resources production and fishing,0,07-09,081,0811,4,Unit group
082,"Managers in agriculture, horticulture and aquaculture",0,07-09,082,NA,3,Minor group
0821,Managers in agriculture,0,07-09,082,0821,4,Unit group
0822,Managers in horticulture,0,07-09,082,0822,4,Unit group
0823,Managers in aquaculture,0,07-09,082,0823,4,Unit group
091,Managers in manufacturing and utilities,0,07-09,091,NA,3,Minor group
0911,Manufacturing managers,0,07-09,091,0911,4,Unit group
0912,Utilities managers,0,07-09,091,0912,4,Unit group
1,"Business, finance and administration occupations",1,NA,NA,NA,1,Broad occupational category
11,Professional occupations in business and finance,1,11,NA,NA,2,Major group
111,"Auditors, accountants and investment professionals",1,11,111,NA,3,Minor group
1111,Financial auditors and accountants,1,11,111,1111,4,Unit group
1112,Financial and investment analysts,1,11,111,1112,4,Unit group
1113,"Securities agents, investment dealers and brokers",1,11,111,1113,4,Unit group
1114,Other financial officers,1,11,111,1114,4,Unit group
112,Human resources and business service professionals,1,11,112,NA,3,Minor group
1121,Human resources professionals,1,11,112,1121,4,Unit group
1122,Professional occupations in business management consulting,1,11,112,1122,4,Unit group
1123,"Professional occupations in advertising, marketing and public relations",1,11,112,1123,4,Unit group
12,Administrative and financial supervisors and administrative occupations,1,12,NA,NA,2,Major group
121,Administrative services supervisors,1,12,121,NA,3,Minor group
1211,"Supervisors, general office and administrative support workers",1,12,121,1211,4,Unit group
1212,"Supervisors, finance and insurance office workers",1,12,121,1212,4,Unit group
1213,"Supervisors, library, correspondence and related information workers",1,12,121,1213,4,Unit group
1214,"Supervisors, mail and message distribution occupations",1,12,121,1214,4,Unit group
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",1,12,121,1215,4,Unit group
122,Administrative and regulatory occupations,1,12,122,NA,3,Minor group
1221,Administrative officers,1,12,122,1221,4,Unit group
1222,Executive assistants,1,12,122,1222,4,Unit group
1223,Human resources and recruitment officers,1,12,122,1223,4,Unit group
1224,Property administrators,1,12,122,1224,4,Unit group
1225,Purchasing agents and officers,1,12,122,1225,4,Unit group
1226,Conference and event planners,1,12,122,1226,4,Unit group
1227,Court officers and justices of the peace,1,12,122,1227,4,Unit group
1228,"Employment insurance, immigration, border services and revenue officers",1,12,122,1228,4,Unit group
124,"Office administrative assistants - general, legal and medical",1,12,124,NA,3,Minor group
1241,Administrative assistants,1,12,124,1241,4,Unit group
1242,Legal administrative assistants,1,12,124,1242,4,Unit group
1243,Medical administrative assistants,1,12,124,1243,4,Unit group
