nocs2006,nocs2006_title,noc2011,noc2011_title
A,Management occupations,0,Management occupations
A,Management occupations,1,"Business, finance and administration occupations"
A0,Senior management occupations,00,Senior management occupations
A01,Legislators and senior management,001,Legislators and senior management
A011,Legislators,0011,Legislators
A011,Legislators,0012,Senior government managers and officials
A012,Senior government managers and officials,0012,Senior government managers and officials
A013,"Senior managers - financial, communications and other business services",0013,"Senior managers - financial, communications and other business services"
A014,"Senior managers - health, education, social and community services and membership organizations",0014,"Senior managers - health, education, social and community services and membership organizations"
A015,"Senior managers - trade, broadcasting and other services, n.e.c.",0014,"Senior managers - health, education, social and community services and membership organizations"
A015,"Senior managers - trade, broadcasting and other services, n.e.c.",0015,"Senior managers - trade, broadcasting and other services, n.e.c."
A016,"Senior managers - goods production, utilities, transportation and construction",0016,"Senior managers - construction, transportation, production and utilities"
A1,Specialist managers,01-05,Specialized middle management occupations
A1,Specialist managers,06,Middle management occupations in retail and wholesale trade and customer services
A1,Specialist managers,07-09,"Middle management occupations in trades, transportation, production and utilities"
A1,Specialist managers,11,Professional occupations in business and finance
A11,Administrative services managers,011,Administrative services managers
A111,Financial managers,0111,Financial managers
A112,Human resources managers,0112,Human resources managers
A113,Purchasing managers,0113,Purchasing managers
A114,Other administrative services managers,0114,Other administrative services managers
A12,"Managers in engineering, architecture, science and information systems",021,"Managers in engineering, architecture, science and information systems"
A121,Engineering managers,0211,Engineering managers
A122,Computer and information systems managers,0213,Computer and information systems managers
A123,Architecture and science managers,0212,Architecture and science managers
A13,"Sales, marketing and advertising managers",012,Managers in financial and business services
A13,"Sales, marketing and advertising managers",060,Corporate sales managers
A13,"Sales, marketing and advertising managers",062,Retail and wholesale trade managers
A13,"Sales, marketing and advertising managers",112,Human resources and business service professionals
A131,"Sales, marketing and advertising managers",0124,"Advertising, marketing and public relations managers"
A131,"Sales, marketing and advertising managers",0601,Corporate sales managers
A131,"Sales, marketing and advertising managers",0621,Retail and wholesale trade managers
A131,"Sales, marketing and advertising managers",1123,"Professional occupations in advertising, marketing and public relations"
A14,Facility operation and maintenance managers,071,Managers in construction and facility operation and maintenance
A14,Facility operation and maintenance managers,073,Managers in transportation
A141,Facility operation and maintenance managers,0714,Facility operation and maintenance managers
A141,Facility operation and maintenance managers,0731,Managers in transportation
A2,"Managers in retail trade, food and accommodation services",06,Middle management occupations in retail and wholesale trade and customer services
A21,Managers in retail trade,062,Retail and wholesale trade managers
A211,Retail trade managers,0124,"Advertising, marketing and public relations managers"
A211,Retail trade managers,0601,Corporate sales managers
A211,Retail trade managers,0621,Retail and wholesale trade managers
A22,Managers in food service and accommodation,063,Managers in food service and accommodation
A221,Restaurant and food service managers,0631,Restaurant and food service managers
A222,Accommodation service managers,0632,Accommodation service managers
A3,Other managers n.e.c.,01-05,Specialized middle management occupations
A3,Other managers n.e.c.,06,Middle management occupations in retail and wholesale trade and customer services
A3,Other managers n.e.c.,07-09,"Middle management occupations in trades, transportation, production and utilities"
A30,Managers in financial and business services,012,Managers in financial and business services
A301,"Insurance, real estate and financial brokerage managers",0121,"Insurance, real estate and financial brokerage managers"
A302,"Banking, credit and other investment managers",0122,"Banking, credit and other investment managers"
A303,Other business services managers,0124,"Advertising, marketing and public relations managers"
A303,Other business services managers,0125,Other business services managers
A31,Managers in communication (except broadcasting),013,Managers in communication (except broadcasting)
A311,Telecommunication carriers managers,0131,Telecommunication carriers managers
A312,Postal and courier services managers,0132,Postal and courier services managers
A32,"Managers in health, education, social and community services",031,Managers in health care
A32,"Managers in health, education, social and community services",042,Managers in education and social and community services
A321,Managers in health care,0311,Managers in health care
A322,Administrators - post-secondary education and vocational training,0421,Administrators - post-secondary education and vocational training
A323,School principals and administrators of elementary and secondary education,0422,School principals and administrators of elementary and secondary education
A324,"Managers in social, community and correctional services",0423,"Managers in social, community and correctional services"
A33,Managers in public administration,041,Managers in public administration
A331,Government managers - health and social policy development and program administration,0411,Government managers - health and social policy development and program administration
A332,"Government managers - economic analysis, policy development and program administration",0412,"Government managers - economic analysis, policy development and program administration"
A333,Government managers - education policy development and program administration,0413,Government managers - education policy development and program administration
A334,Other managers in public administration,0414,Other managers in public administration
A34,"Managers in art, culture, recreation and sport",051,"Managers in art, culture, recreation and sport"
A341,"Library, archive, museum and art gallery managers",0511,"Library, archive, museum and art gallery managers"
A342,"Managers - publishing, motion pictures, broadcasting and performing arts",0512,"Managers - publishing, motion pictures, broadcasting and performing arts"
A343,"Recreation, sports and fitness program and service directors",0513,"Recreation, sports and fitness program and service directors"
A35,Managers in protective service,043,Managers in public protection services
A351,Commissioned police officers,0431,Commissioned police officers
A352,Fire chiefs and senior firefighting officers,0432,Fire chiefs and senior firefighting officers
A353,"Commissioned officers, armed forces",0433,Commissioned officers of the Canadian Forces
A36,Managers in other services,065,"Managers in customer and personal services, n.e.c."
A361,Other services managers,0651,"Managers in customer and personal services, n.e.c."
A37,Managers in construction and transportation,071,Managers in construction and facility operation and maintenance
A37,Managers in construction and transportation,073,Managers in transportation
A371,Construction managers,0711,Construction managers
A372,Residential home builders and renovators,0712,Home building and renovation managers
A373,Transportation managers,0731,Managers in transportation
A38,Managers in primary production (except agriculture),081,Managers in natural resources production and fishing
A381,Primary production managers (except agriculture),0811,Managers in natural resources production and fishing
A39,Managers in manufacturing and utilities,091,Managers in manufacturing and utilities
A391,Manufacturing managers,0911,Manufacturing managers
A392,Utilities managers,0912,Utilities managers
B,"Business, finance and administrative occupations",1,"Business, finance and administration occupations"
B,"Business, finance and administrative occupations",6,Sales and service occupations
B0,Professional occupations in business and finance,11,Professional occupations in business and finance
B01,"Auditors, accountants and investment professionals",111,"Auditors, accountants and investment professionals"
B011,Financial auditors and accountants,1111,Financial auditors and accountants
B012,Financial and investment analysts,1112,Financial and investment analysts
B013,"Securities agents, investment dealers and brokers",1113,"Securities agents, investment dealers and brokers"
B014,Other financial officers,1114,Other financial officers
B02,Human resources and business service professionals,112,Human resources and business service professionals
B021,Specialists in human resources,1121,Human resources professionals
B022,Professional occupations in business services to management,1122,Professional occupations in business management consulting
B022,Professional occupations in business services to management,1123,"Professional occupations in advertising, marketing and public relations"
