nocs2006,nocs2006_title,soc2010,soc2010_title
A011,Legislators,11-1011,Chief Executives
A011,Legislators,11-1031,Legislators
A012,Senior government managers and officials,11-1011,Chief Executives
A013,"Senior managers - financial, communications and other business services",11-1011,Chief Executives
A014,"Senior managers - health, education, social and community services and membership organizations",11-1011,Chief Executives
A014,"Senior managers - health, education, social and community services and membership organizations",11-1021,General and Operations Managers
A014,"Senior managers - health, education, social and community services and membership organizations",11-9111,Medical and Health Services Managers
A015,"Senior managers - trade, broadcasting and other services, n.e.c.",11-1011,Chief Executives
A015,"Senior managers - trade, broadcasting and other services, n.e.c.",11-1021,General and Operations Managers
A015,"Senior managers - trade, broadcasting and other services, n.e.c.",11-9111,Medical and Health Services Managers
A016,"Senior managers - goods production, utilities, transportation and construction",11-1011,Chief Executives
A111,Financial managers,11-3031,Financial Managers
A112,Human resources managers,11-3111,Compensation and Benefits Managers
A112,Human resources managers,11-3121,Human Resources Managers
A112,Human resources managers,11-3131,Training and Development Managers
A113,Purchasing managers,11-3061,Purchasing Managers
A114,Other administrative services managers,11-3011,Administrative Services Managers
A114,Other administrative services managers,11-9111,Medical and Health Services Managers
A121,Engineering managers,11-9041,Architectural and Engineering Managers
A122,Computer and information systems managers,11-3021,Computer and Information Systems Managers
A122,Computer and information systems managers,11-9199,"Managers, All Other"
A122,Computer and information systems managers,13-1199,"Business Operations Specialists, All Other"
A122,Computer and information systems managers,15-1199,"Computer Occupations, All Other"
A123,Architecture and science managers,11-9041,Architectural and Engineering Managers
A123,Architecture and science managers,11-9121,Natural Sciences Managers
A123,Architecture and science managers,19-3051,Urban and Regional Planners
A131,"Sales, marketing and advertising managers",11-1021,General and Operations Managers
A131,"Sales, marketing and advertising managers",11-2011,Advertising and Promotions Managers
A131,"Sales, marketing and advertising managers",11-2021,Marketing Managers
A131,"Sales, marketing and advertising managers",11-2022,Sales Managers
A131,"Sales, marketing and advertising managers",11-2031,Public Relations and Fundraising Managers
A131,"Sales, marketing and advertising managers",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
A131,"Sales, marketing and advertising managers",13-1131,Fundraisers
A131,"Sales, marketing and advertising managers",13-1161,Market Research Analysts and Marketing Specialists
A131,"Sales, marketing and advertising managers",27-3031,Public Relations Specialists
A131,"Sales, marketing and advertising managers",41-1011,First-Line Supervisors of Retail Sales Workers
A131,"Sales, marketing and advertising managers",41-3011,Advertising Sales Agents
A141,Facility operation and maintenance managers,11-3011,Administrative Services Managers
A141,Facility operation and maintenance managers,11-3071,"Transportation, Storage, and Distribution Managers"
A141,Facility operation and maintenance managers,11-9199,"Managers, All Other"
A211,Retail trade managers,11-1021,General and Operations Managers
A211,Retail trade managers,11-2011,Advertising and Promotions Managers
A211,Retail trade managers,11-2021,Marketing Managers
A211,Retail trade managers,11-2022,Sales Managers
A211,Retail trade managers,11-2031,Public Relations and Fundraising Managers
A211,Retail trade managers,41-1011,First-Line Supervisors of Retail Sales Workers
A221,Restaurant and food service managers,11-9051,Food Service Managers
A222,Accommodation service managers,11-9081,Lodging Managers
A222,Accommodation service managers,11-9111,Medical and Health Services Managers
A222,Accommodation service managers,11-9199,"Managers, All Other"
A222,Accommodation service managers,39-9041,Residential Advisors
A301,"Insurance, real estate and financial brokerage managers",11-3031,Financial Managers
A301,"Insurance, real estate and financial brokerage managers",11-9141,"Property, Real Estate, and Community Association Managers"
A301,"Insurance, real estate and financial brokerage managers",41-9021,Real Estate Brokers
A302,"Banking, credit and other investment managers",11-3031,Financial Managers
A303,Other business services managers,11-2011,Advertising and Promotions Managers
A303,Other business services managers,11-2021,Marketing Managers
A303,Other business services managers,11-2031,Public Relations and Fundraising Managers
A303,Other business services managers,11-9199,"Managers, All Other"
A311,Telecommunication carriers managers,11-1021,General and Operations Managers
A312,Postal and courier services managers,11-3011,Administrative Services Managers
A312,Postal and courier services managers,11-9131,Postmasters and Mail Superintendents
A321,Managers in health care,11-9111,Medical and Health Services Managers
A322,Administrators - post-secondary education and vocational training,11-3011,Administrative Services Managers
A322,Administrators - post-secondary education and vocational training,11-9033,"Education Administrators, Postsecondary"
A322,Administrators - post-secondary education and vocational training,11-9039,"Education Administrators, All Other"
A323,School principals and administrators of elementary and secondary education,11-1011,Chief Executives
A323,School principals and administrators of elementary and secondary education,11-9032,"Education Administrators, Elementary and Secondary School"
A324,"Managers in social, community and correctional services",11-9031,"Education Administrators, Preschool and Childcare Center/Program"
A324,"Managers in social, community and correctional services",11-9151,Social and Community Service Managers
A324,"Managers in social, community and correctional services",21-2021,"Directors, Religious Activities and Education"
A331,Government managers - health and social policy development and program administration,11-3011,Administrative Services Managers
A332,"Government managers - economic analysis, policy development and program administration",11-3011,Administrative Services Managers
A333,Government managers - education policy development and program administration,11-3011,Administrative Services Managers
A334,Other managers in public administration,11-1021,General and Operations Managers
A334,Other managers in public administration,11-3011,Administrative Services Managers
A334,Other managers in public administration,11-9161,Emergency Management Directors
A341,"Library, archive, museum and art gallery managers",11-1021,General and Operations Managers
A342,"Managers - publishing, motion pictures, broadcasting and performing arts",11-1021,General and Operations Managers
A343,"Recreation, sports and fitness program and service directors",11-9071,Gaming Managers
