occ1980,occ1980_title,soc2010,soc2010_title
003,LEGISLATORS,11-1031,Legislators
004,"CHIEF EXECUTIVES AND GENERAL ADMINISTRATORS, PUBLIC ADMINISTRATION",11-1011,Chief Executives
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",11-1011,Chief Executives
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",11-3131,Training and Development Managers
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",11-9041,Architectural and Engineering Managers
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",11-9199,"Managers, All Other"
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",13-1121,"Meeting, Convention, and Event Planners**"
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",13-1161,Market Research Analysts and Marketing Specialists**
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",13-1199,"Business Operations Specialists, All Other"
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",29-2071,Medical Records and Health Information Technicians
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",29-9011,Occupational Health and Safety Specialists
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",33-3051,Police and Sheriff's Patrol Officers
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",43-4061,"Eligibility Interviewers, Government Programs"
006,"ADMINISTRATORS, PROTECTIVE SERVICES",11-1011,Chief Executives
006,"ADMINISTRATORS, PROTECTIVE SERVICES",11-3011,Administrative Services Managers
006,"ADMINISTRATORS, PROTECTIVE SERVICES",11-3051,Industrial Production Managers
006,"ADMINISTRATORS, PROTECTIVE SERVICES",11-9161,Emergency Management Directors
006,"ADMINISTRATORS, PROTECTIVE SERVICES",25-3021,Self-Enrichment Education Teachers
007,FINANCIAL MANAGERS,11-3031,Financial Managers
008,PERSONNEL AND LABOR RELATIONS MANAGERS,11-3111,Compensation and Benefits Managers
008,PERSONNEL AND LABOR RELATIONS MANAGERS,11-3131,Training and Development Managers
