sic1987,sic1987_title,naics2022,naics2022_title
0111,Wheat,NA,NA
0112,Rice,NA,NA
0115,Corn,NA,NA
0116,Soybeans,NA,NA
0119,"Cash Grains, NEC (oilseed farming, except soybeans)",NA,NA
0119,"Cash Grains, NEC (dry pea and bean farms)",NA,NA
0119,"Cash Grains, NEC (popcorn farming)",NA,NA
0119,"Cash Grains, NEC (oilseed and grain combination farms)",NA,NA
0119,"Cash Grains, NEC (except popcorn, dry pea and bean, oilseed (except soybean), and oilseed and grain combination farms)",NA,NA
0131,Cotton,NA,NA
0132,Tobacco,NA,NA
0133,Sugarcane and Sugar Beets (sugarcane farms),NA,NA
0133,Sugarcane and Sugar Beets (sugar beet farms),NA,NA
0134,Irish Potatoes,NA,NA
0139,"Field Crops, Except Cash Grains, NEC (broom corn farming)",NA,NA
0139,"Field Crops Except Cash Grains (sweet potatoes and yams), NEC",NA,NA
0139,"Field Crops Except Cash Grains (sweet potatoes and yams), NEC",NA,NA
0139,"Field Crops, Except Cash Grains, NEC (hay farms)",NA,NA
0139,"Field Crops, Except Cash Grains, NEC (peanut farms)",NA,NA
0139,"Field Crops, Except Cash Grains, NEC (except peanut, sweet potato, broom corn, yam and hay farms)",NA,NA
0139,"Field Crops, Except Cash Grains, NEC (except peanut, sweet potato, broom corn, yam and hay farms)",NA,NA
0161,Vegetables and Melons,NA,NA
0161,Vegetables and Melons,NA,NA
0171,Berry Crops (strawberry farms),NA,NA
0171,Berry Crops ( except strawberry farms),NA,NA
0172,Grapes,NA,NA
0173,Tree Nuts,NA,NA
0174,Citrus Fruits (orange groves and farms),NA,NA
0174,Citrus Fruits (except orange groves and farms),NA,NA
0175,Deciduous Tree Fruits (apple orchards and farms),NA,NA
0175,Deciduous Tree Fruits (except apple orchards and farms),NA,NA
0179,"Fruits and Tree Nuts, NEC (combination farms)",NA,NA
0179,"Fruits and Tree Nuts, NEC (except combination farms)",NA,NA
0181,Ornamental Floriculture and Nursery Products (nursery farming),NA,NA
0181,Ornamental Floriculture and Nursery Products (floriculture farming),NA,NA
0182,Food Crops Grown Under Cover (growing mushrooms),NA,NA
0182,Food Crops Grown Under Cover (except growing mushrooms),NA,NA
0191,"General Farms, Primarily Crop",NA,NA
0191,"General Farms, Primarily Crop",NA,NA
0211,Beef Cattle Feedlots,NA,NA
0212,"Beef Cattle, Except Feedlots",NA,NA
0213,Hogs,NA,NA
0214,Sheep and Goats (sheep farms),NA,NA
0214,Sheep and Goats (goat farms),NA,NA
0219,"General Livestock, Except Dairy and Poultry",NA,NA
0241,Dairy Farms (dairy heifer replacement farms),NA,NA
0241,Dairy Farms (except dairy heifer replacement farms),NA,NA
