division,major,minor,unit,title
11-18,,,,"Excecutive, Adminstrative and Managerial Occupations"
17-18,,,,Natural Scientists and Mathematicians
19-21,,,,"Social Scientist, Social Workers, Religious Workers, and Lawyers"
22-25,,,,"Teachers, Librarians, and Counselors"
26-28,,,,Health Diagnosing and Treating Practitioners
29-30,,,,"Registered Nurses, Pharmacists, Dietitians, Therapists, and Physician's Assistants"
32-34,,,,"Writers, Artists, Entertainers, and Athletes"
36-36,,,,Health Technologists and Technicians
37-39,,,,"Technologists and Technicians, Except Health"
40-44,,,,Marketing and Sales Occupations
45-47,,,,"Administrative Support Occupations, Including Clerical"
50-52,,,,Service Occupations
55-58,,,,"Agricultural, Forestry and Fishing Occupations"
60-61,,,,Mechanics and Repairers
63-65,,,,Construction and Extractive Occupations
67-69,,,,Precision Production Occupations
71-78,,,,Production Working Occupations
81-83,,,,Transportation and Material Moving Occupations
85-87,,,,"Handlers, Equipment Cleaners, Helpers and Laborers"
91-91,,,,Military Occupations
99-99,,,,Miscellaneous Occupations
11-18,11,,,"OFFICIALS AND ADMINISTRATORS,PUBLIC ADMINISTRATION"
11-18,12-13,,,"OFFICIALS AND ADMINISTRATORS, OTHER"
11-18,14,,,MANAGEMENT RELATED OCCUPATIONS
11-18,16,,,"ENGINEERS, SURVEYORS AND ARCHITECTS"
17-18,17,,,"COMPUTER, MATHEMATICAL, AND OPERATIONS RESEARCH OCCUPAT"
17-18,18,,,NATURAL SCIENTISTS
19-21,19,,,SOCIAL SCIENTISTS AND URBAN PLANNERS
19-21,20,,,"SOCIAL, RECREATION, AND RELIGIOUS WORKERS"
19-21,21,,,LAWYERS AND JUDGES
22-25,22,,,"TEACHERS; COLLEGE, UNIVERSITY AND OTHER POSTSECONDARY INSTITUTION"
22-25,23,,,"TEACHERS, EXCEPT POSTSECONDARY INSTITUTION"
22-25,24,,,VOCATIONAL AND EDUCATIONAL COUNSELORS
22-25,25,,,"LIBRARIANS, ARCHIVISTS, AND CURATORS"
26-28,26,,,PHYSICIANS AND DENTISTS
26-28,27,,,VETERINARIANS
26-28,28,,,OTHER HEALTH DIAGNOSING AND TREATING PRACTITIONERS
29-30,29,,,REGISTERED NURSES
29-30,30,,,"PHARMACISTS, DIETITIANS, THERAPISTS, AND PHYSICIAN'S AS"
32-34,32,,,"WRITERS, ARTISTS, PERFORMERS, AND RELATED WORKERS"
32-34,33,,,"EDITORS, REPORTERS, PUBLIC RELATIONS SPECIALISTS, AND A"
32-34,34,,,ATHLETES AND RELATED WORKERS
36-36,36,,,HEALTH TECHNOLOGISTS AND TECHNICIANS
37-39,37,,,ENGINEERING AND RLATED TECHNOLOGISTS AND TECHNICIANS
37-39,38,,,SCIENCE TECHNOLOGISTS AND TECHNICIANS
37-39,39,,,"TECHNICIANS; EXCEPT HEALTH, ENGINEERING, AND SCIENCE"
40-44,40,,,SUPERVISORS;MARKETING AND SALES OCCUPATIONS
40-44,41,,,"INSURANCE, SECURITIES, REAL ESTATE, AND BUSINESS SERVICIE SALES OCCUPATION"
40-44,42,,,"SALES OCCUPATIONS, COMMODITIES EXCEPT RETAIL"
40-44,43,,,"SALES OCCUPATIONS, RETAIL"
