soc1980,soc1980_title,soc2000,soc2000_title
111,LEGISLATORS,11-1031,Legislators
112,CHIEF EXECUTIVES AND GENERAL ADMINISTRATORS,11-1011,Chief Executives
1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRA",11-1011,Chief Executives
1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRA",11-3011,Administrative Services Managers
1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRA",11-3051,Industrial Production Managers
1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRA",13-1061,Emergency Management Specialists
1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRA",25-3021,Self-Enrichment Education Teachers
1132,HUMAN RESOURCES PROGRAM ADMINISTRATORS,11-1011,Chief Executives
1132,HUMAN RESOURCES PROGRAM ADMINISTRATORS,11-3042,Training and Development Managers
1132,HUMAN RESOURCES PROGRAM ADMINISTRATORS,29-2071,Medical Records and Health Information Technicians
1132,HUMAN RESOURCES PROGRAM ADMINISTRATORS,29-9011,Occupational Health and Safety Specialists
1133,"NATURAL RESOURCES PROGRAM ADMINISTRATORS",11-1011,Chief Executives
1134,"RURAL, URBAN, AND COMMUNITY DEVELOPMENT PROGRAM AD",11-1011,Chief Executives
1134,"RURAL, URBAN, AND COMMUNITY DEVELOPMENT PROGRAM AD",11-9041,Engineering Managers
1135,"PUBLIC FINANCE, TAXATION, AND OTHER MONETARY PROGR",11-1011,Chief Executives
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION",11-1011,Chief Executives
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION",11-9041,Engineering Managers
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION",11-9199,"Managers, All Other"
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION",13-1199,"Business Operations Specialists, All Other"
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION",33-3051,Police and Sheriff's Patrol Officers
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION",43-4061,"Eligibility Interviewers, Government Programs"
121,GENERAL MANAGERS AND OTHER TOP EXECUTIVES,11-1011,Chief Executives
121,GENERAL MANAGERS AND OTHER TOP EXECUTIVES,11-1021,General and Operations Managers
121,GENERAL MANAGERS AND OTHER TOP EXECUTIVES,11-3071,"Transportation, Storage, and Distribution Managers"
121,GENERAL MANAGERS AND OTHER TOP EXECUTIVES,11-9111,Medical and Health Services Managers
122,FINANCIAL MANAGERS,11-3031,Financial Managers
123,PERSONNEL AND LABOR RELATIONS MANAGERS,11-3041,Compensation and Benefits Managers
123,PERSONNEL AND LABOR RELATIONS MANAGERS,11-3042,Training and Development Managers
123,PERSONNEL AND LABOR RELATIONS MANAGERS,13-1079,"Human Resources, Training, and Labor Relations Specialists, All Other"
124,PURCHASING MANAGERS,11-3061,Purchasing Managers
125,"MANAGERS; MARKETING, ADVERTISING, AND PUBLIC RELAT",11-2011,Advertising and Promotions Managers
125,"MANAGERS; MARKETING, ADVERTISING, AND PUBLIC RELAT",11-2021,Marketing Managers
125,"MANAGERS; MARKETING, ADVERTISING, AND PUBLIC RELAT",11-2022,Sales Managers
125,"MANAGERS; MARKETING, ADVERTISING, AND PUBLIC RELAT",11-2031,Public Relations Managers
126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SC",11-3021,Computer and Information Systems Managers
126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SC",11-9041,Engineering Managers
126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SC",11-9121,Natural Sciences Managers
126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SC",11-9199,"Managers, All Other"
126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SC",17-2112,Industrial Engineers
127,MANAGERS; SOCIAL SCIENCES AND RELATED FIELDS,11-2031,Public Relations Managers
127,MANAGERS; SOCIAL SCIENCES AND RELATED FIELDS,11-9151,Social and Community Service Managers
1281,ADMINISTRATORS; COLLEGES AND UNIVERSITIES,11-9033,"Education Administrators, Postsecondary"
1281,ADMINISTRATORS; COLLEGES AND UNIVERSITIES,11-9199,"Managers, All Other"
1282,ADMINISTRATORS; ELEMENTARY AND SECONDARY EDUCATION,11-9031,"Education Administrators, Preschool and Child Care Center/Program"
1282,ADMINISTRATORS; ELEMENTARY AND SECONDARY EDUCATION,11-9032,"Education Administrators, Elementary and Secondary School"
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",11-9031,"Education Administrators, Preschool and Child Care Center/Program"
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",11-9032,"Education Administrators, Elementary and Secondary School"
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",11-9039,"Education Administrators, All Other"
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",11-9199,"Managers, All Other"
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",13-1073,Training and Development Specialists
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",21-1015,Rehabilitation Counselors
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",25-4012,Curators
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT",25-4021,Librarians
131,MANAGERS; MEDICINE AND HEALTH,11-3011,Administrative Services Managers
131,MANAGERS; MEDICINE AND HEALTH,11-9033,"Education Administrators, Postsecondary"
131,MANAGERS; MEDICINE AND HEALTH,11-9111,Medical and Health Services Managers
131,MANAGERS; MEDICINE AND HEALTH,29-1121,Audiologists
131,MANAGERS; MEDICINE AND HEALTH,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
132,"PRODUCTION MANAGERS, INDUSTRIAL",11-3051,Industrial Production Managers
132,"PRODUCTION MANAGERS, INDUSTRIAL",11-3071,"Transportation, Storage, and Distribution Managers"
132,"PRODUCTION MANAGERS, INDUSTRIAL",11-9199,"Managers, All Other"
132,"PRODUCTION MANAGERS, INDUSTRIAL",45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers"
132,"PRODUCTION MANAGERS, INDUSTRIAL",49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers"
132,"PRODUCTION MANAGERS, INDUSTRIAL",53-1021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand"
133,CONSTRUCTION MANAGERS,11-9021,Construction Managers
1341,COMMUNICATIONS OPERATIONS MANAGERS,11-3071,"Transportation, Storage, and Distribution Managers"
1341,COMMUNICATIONS OPERATIONS MANAGERS,11-9199,"Managers, All Other"
1341,COMMUNICATIONS OPERATIONS MANAGERS,27-2012,Producers and Directors
1341,COMMUNICATIONS OPERATIONS MANAGERS,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
1342,TRANSPORTATION FACILITIES AND OPERATIONS MANAGERS,11-3071,"Transportation, Storage, and Distribution Managers"
1342,TRANSPORTATION FACILITIES AND OPERATIONS MANAGERS,11-9199,"Managers, All Other"
1343,"ELECTRICITY, GAS, WATER SUPPLY, AND SANITARY SERVI",11-3071,"Transportation, Storage, and Distribution Managers"
1343,"ELECTRICITY, GAS, WATER SUPPLY, AND SANITARY SERVI",11-9199,"Managers, All Other"
1343,"ELECTRICITY, GAS, WATER SUPPLY, AND SANITARY SERVI",43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
1344,POSTMASTERS AND MAIL SUPERINTENDENTS,11-9131,Postmasters and Mail Superintendents
1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS,11-9051,Food Service Managers
1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS,11-9081,Lodging Managers
1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS,11-9199,"Managers, All Other"
1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS,13-1121,Meeting and Convention Planners
1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS,37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers
1352,MANAGERS; ENTERTAINMENT AND RECREATION FACILITIES,11-9071,Gaming Managers
1352,MANAGERS; ENTERTAINMENT AND RECREATION FACILITIES,11-9151,Social and Community Service Managers
1352,MANAGERS; ENTERTAINMENT AND RECREATION FACILITIES,11-9199,"Managers, All Other"
1352,MANAGERS; ENTERTAINMENT AND RECREATION FACILITIES,39-9032,Recreation Workers
1353,MANAGERS; PROPERTY AND LEASING,11-9141,"Property, Real Estate, and Community Association Managers"
1353,MANAGERS; PROPERTY AND LEASING,13-1199,"Business Operations Specialists, All Other"
1354,MANAGERS; MEMBERSHIP ORGANIZATIONS,11-2021,Marketing Managers
1354,MANAGERS; MEMBERSHIP ORGANIZATIONS,11-9199,"Managers, All Other"
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",11-1011,Chief Executives
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",11-3051,Industrial Production Managers
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",11-9061,Funeral Directors
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",11-9151,Social and Community Service Managers
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",11-9199,"Managers, All Other"
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",13-1199,"Business Operations Specialists, All Other"
1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLA",45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers"
136,"MANAGERS; MINING, QUARRYING, WELL DRILLING, AND SI",11-9021,Construction Managers
136,"MANAGERS; MINING, QUARRYING, WELL DRILLING, AND SI",11-9199,"Managers, All Other"
137,MANAGERS; ADMINISTRATIVE SERVICES,11-1011,Chief Executives
137,MANAGERS; ADMINISTRATIVE SERVICES,11-3011,Administrative Services Managers
137,MANAGERS; ADMINISTRATIVE SERVICES,11-3061,Purchasing Managers
137,MANAGERS; ADMINISTRATIVE SERVICES,11-9199,"Managers, All Other"
137,MANAGERS; ADMINISTRATIVE SERVICES,49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers"
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",11-1011,Chief Executives
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",11-2022,Sales Managers
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",11-2031,Public Relations Managers
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",11-3011,Administrative Services Managers
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",11-9199,"Managers, All Other"
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",13-1073,Training and Development Specialists
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",13-1199,"Business Operations Specialists, All Other"
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
1412,ACCOUNTANTS AND AUDITORS,13-2011,Accountants and Auditors
1414,UNDERWRITERS,13-2053,Insurance Underwriters
1415,LOAN OFFICERS,13-2072,Loan Officers
1415,LOAN OFFICERS,43-4131,Loan Interviewers and Clerks
1419,OTHER FINANCIAL OFFICERS,11-3031,Financial Managers
1419,OTHER FINANCIAL OFFICERS,13-2031,Budget Analysts
1419,OTHER FINANCIAL OFFICERS,13-2041,Credit Analysts
1419,OTHER FINANCIAL OFFICERS,13-2051,Financial Analysts
1419,OTHER FINANCIAL OFFICERS,13-2052,Personal Financial Advisors
1419,OTHER FINANCIAL OFFICERS,13-2071,Loan Counselors
1419,OTHER FINANCIAL OFFICERS,13-2099,"Financial Specialists, All Other"
1419,OTHER FINANCIAL OFFICERS,33-9021,Private Detectives and Investigators
1419,OTHER FINANCIAL OFFICERS,41-3021,Insurance Sales Agents
142,MANAGEMENT ANALYSTS,13-1111,Management Analysts
142,MANAGEMENT ANALYSTS,49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",11-3041,Compensation and Benefits Managers
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",11-3049,"Human Resources Managers, All Other"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",13-1071,"Employment, Recruitment, and Placement Specialists"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",13-1072,"Compensation, Benefits, and Job Analysis Specialists"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",13-1073,Training and Development Specialists
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",13-1079,"Human Resources, Training, and Labor Relations Specialists, All Other"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",13-1199,"Business Operations Specialists, All Other"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",21-1092,Probation Officers and Correctional Treatment Specialists
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",23-1022,"Arbitrators, Mediators, and Conciliators"
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",27-2012,Producers and Directors
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIS",43-4061,"Eligibility Interviewers, Government Programs"
1442,"BUYERS, WHOLESALE AND RETAIL TRADE, EXCEPT FARM PR",13-1022,"Wholesale and Retail Buyers, Except Farm Products"
1443,"PURCHASING AGENTS AND BUYERS, FARM PRODUCTS",11-3061,Purchasing Managers
1443,"PURCHASING AGENTS AND BUYERS, FARM PRODUCTS",13-1021,"Purchasing Agents and Buyers, Farm Products"
1443,"PURCHASING AGENTS AND BUYERS, FARM PRODUCTS",41-3031,"Securities, Commodities, and Financial Services Sales Agents"
1449,"PURCHASING AGENTS AND BUYERS, NOT ELSEWHERE CLASSI",13-1021,"Purchasing Agents and Buyers, Farm Products"
1449,"PURCHASING AGENTS AND BUYERS, NOT ELSEWHERE CLASSI",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1449,"PURCHASING AGENTS AND BUYERS, NOT ELSEWHERE CLASSI",13-1199,"Business Operations Specialists, All Other"
1449,"PURCHASING AGENTS AND BUYERS, NOT ELSEWHERE CLASSI",17-2112,Industrial Engineers
145,BUSINESS AND PROMOTION AGENTS,11-9199,"Managers, All Other"
145,BUSINESS AND PROMOTION AGENTS,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
1472,CONSTRUCTION INSPECTORS,33-2021,Fire Inspectors and Investigators
1472,CONSTRUCTION INSPECTORS,47-2061,Construction Laborers
1472,CONSTRUCTION INSPECTORS,47-4011,Construction and Building Inspectors
1472,CONSTRUCTION INSPECTORS,53-7199,"Material Moving Workers, All Other"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",11-9199,"Managers, All Other"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",13-1031,"Claims Adjusters, Examiners, and Investigators"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",13-1199,"Business Operations Specialists, All Other"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",13-2021,Appraisers and Assessors of Real Estate
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",13-2061,Financial Examiners
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",13-2081,"Tax Examiners, Collectors, and Revenue Agents"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",17-3026,Industrial Engineering Technicians
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",29-9011,Occupational Health and Safety Specialists
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",33-3021,Detectives and Criminal Investigators
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",43-3021,Billing and Posting Clerks and Machine Operators
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",45-2011,Agricultural Inspectors
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",45-4029,"Logging Workers, All Other"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",47-4011,Construction and Building Inspectors
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",49-9099,"Installation, Maintenance, and Repair Workers, All Other"
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRU",53-6051,Transportation Inspectors
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",11-3071,"Transportation, Storage, and Distribution Managers"
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",11-9199,"Managers, All Other"
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",13-1031,"Claims Adjusters, Examiners, and Investigators"
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",13-1051,Cost Estimators
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",13-1199,"Business Operations Specialists, All Other"
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",15-1071,Network and Computer Systems Administrators
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",19-3021,Market Research Analysts
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",21-1012,"Educational, Vocational, and School Counselors"
