code,title
11-0000,Management Occupations
11-1000,Top Executives
11-1010,Chief Executives
11-1011,Chief Executives
11-1020,General and Operations Managers
11-1021,General and Operations Managers
11-1030,Legislators
11-1031,Legislators
11-2010,Advertising and Promotions Managers
11-2011,Advertising and Promotions Managers and Community Association Managers
11-2020,Marketing and Sales Managers
11-2021,Marketing Managers
11-2022,Sales Managers
11-2030,Public Relations Managers
11-2031,Public Relations Managers
11-3000,Operations Specialties Managers
11-3010,Administrative Services Managers
11-3011,Administrative Services Managers
11-3021,Computer and Information Systems Managers
11-3031,Financial Managers
11-3040,Human Resources Managers
11-3041,Compensation and Benefits Managers
11-3042,Training and Development Managers Except Farm Products
11-3051,Industrial Production Managers
11-3060,Purchasing Managers and Investigators
11-3061,Purchasing Managers
11-9000,Other Management Occupations
11-9012,Farmers and Ranchers
11-9020,Construction Managers
11-9021,Construction Managers
11-9030,Education Administrators
11-9040,Engineering Managers
11-9050,Food Service Managers
11-9051,Food Service Managers
11-9060,Funeral Directors
11-9061,Funeral Directors
11-9070,Gaming Managers
11-9071,Gaming Managers
11-9080,Lodging Managers
11-9081,Lodging Managers
11-9110,Medical and Health Services Managers
11-9111,Medical and Health Services Managers
11-9120,Natural Sciences Managers
11-9121,Natural Sciences Managers
11-9130,Postmasters and Mail Superintendents
11-9131,Postmasters and Mail Superintendents
11-9150,Social and Community Service Managers
11-9151,Social and Community Service Managers
11-9190,Miscellaneous Managers
13-0000,Business and Financial Operations Occupations
13-1000,Business Operations Specialists
13-1010,Agents and Business Managers
13-1011,Agents and Business Managers
13-1020,Buyers and Purchasing Agents
13-1050,Cost Estimators
13-1051,Cost Estimators
13-1060,Emergency Management Specialists
13-1061,Emergency Management Specialists
13-1073,Training and Development Specialists
13-1080,Logisticians
13-1081,Logisticians
13-1110,Management Analysts
13-1111,Management Analysts
13-1120,Meeting and Convention Planners
13-1121,Meeting and Convention Planners
13-1190,Miscellaneous Business Operations Specialists
13-2000,Financial Specialists
13-2010,Accountants and Auditors
13-2011,Accountants and Auditors
13-2020,Appraisers and Assessors of Real Estate
13-2021,Appraisers and Assessors of Real Estate
13-2030,Budget Analysts
13-2031,Budget Analysts
13-2040,Credit Analysts
13-2041,Credit Analysts
13-2050,Financial Analysts and Advisors
13-2051,Financial Analysts
13-2052,Personal Financial Advisors and Photogrammetrists
13-2053,Insurance Underwriters
13-2060,Financial Examiners
13-2061,Financial Examiners
13-2070,Loan Counselors and Officers
13-2071,Loan Counselors
13-2072,Loan Officers
13-2082,Tax Preparers
13-2090,Miscellaneous Financial Specialists
15-0000,Computer and Mathematical Occupations
15-1000,Computer Specialists
15-1020,Computer Programmers
15-1021,Computer Programmers
15-1030,Computer Software Engineers and Safety
15-1040,Computer Support Specialists
15-1041,Computer Support Specialists
15-1050,Computer Systems Analysts
15-1051,Computer Systems Analysts
15-1060,Database Administrators
15-1061,Database Administrators
15-1070,Network and Computer Systems Including Mining Safety Engineers Administrators
15-1071,Network and Computer Systems Including Mining Safety Engineers Administrators
15-1080,Network Systems and Data Communications
15-1081,Network Systems and Data
15-1090,Miscellaneous Computer Specialists
15-2000,Mathematical Scientists
15-2010,Actuaries
15-2011,Actuaries
15-2020,Mathematicians
15-2021,Mathematicians
15-2030,Operations Research Analysts
15-2031,Operations Research Analysts
15-2040,Statisticians Technicians
15-2041,Statisticians
15-2090,Miscellaneous Mathematical Scientists
15-3000,Mathematical Technicians
15-3010,Mathematical Technicians
15-3011,Mathematical Technicians
17-0000,Architecture and Engineering Occupations
17-1012,Landscape Architects
17-1021,Cartographers and Photogrammetrists
17-1022,Surveyors
17-2000,Engineers
17-2010,Aerospace Engineers
17-2011,Aerospace Engineers
17-2020,Agricultural Engineers
17-2021,Agricultural Engineers and Revenue Agents
17-2030,Biomedical Engineers
17-2031,Biomedical Engineers and Revenue Agents
17-2040,Chemical Engineers
17-2041,Chemical Engineers
17-2050,Civil Engineers
17-2051,Civil Engineers
17-2060,Computer Hardware Engineers
17-2061,Computer Hardware Engineers
17-2070,Electrical and Electronics Engineers
17-2071,Electrical Engineers
17-2080,Environmental Engineers
17-2081,Environmental Engineers
