code,title,level
11-0000,Management Occupations,major
11-1000,Top Executives,minor
11-1010,Chief Executives,broad
11-1011,Chief Executives,detailed
11-1020,General and Operations Managers,broad
11-1021,General and Operations Managers,detailed
11-1030,Legislators,broad
11-1031,Legislators,detailed
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor
11-2010,Advertising and Promotions Managers,broad
11-2011,Advertising and Promotions Managers,detailed
11-2020,Marketing and Sales Managers,broad
11-2021,Marketing Managers,detailed
11-2022,Sales Managers,detailed
11-2030,Public Relations Managers,broad
11-2031,Public Relations Managers,detailed
11-3000,Operations Specialties Managers,minor
11-3010,Administrative Services Managers,broad
11-3011,Administrative Services Managers,detailed
11-3020,Computer and Information Systems Managers,broad
11-3021,Computer and Information Systems Managers,detailed
11-3030,Financial Managers,broad
11-3031,Financial Managers,detailed
11-3040,Human Resources Managers,broad
11-3041,Compensation and Benefits Managers,detailed
11-3042,Training and Development Managers,detailed
11-3049,"Human Resources Managers, All Other",detailed
11-3050,Industrial Production Managers,broad
11-3051,Industrial Production Managers,detailed
11-3060,Purchasing Managers,broad
11-3061,Purchasing Managers,detailed
11-3070,"Transportation, Storage, and Distribution Managers",broad
11-3071,"Transportation, Storage, and Distribution Managers",detailed
11-9000,Other Management Occupations,minor
11-9010,Agricultural Managers,broad
11-9011,"Farm, Ranch, and Other Agricultural Managers",detailed
11-9012,Farmers and Ranchers,detailed
11-9020,Construction Managers,broad
11-9021,Construction Managers,detailed
11-9030,Education Administrators,broad
11-9031,"Education Administrators, Preschool and Child Care Center/Program",detailed
11-9032,"Education Administrators, Elementary and Secondary School",detailed
11-9033,"Education Administrators, Postsecondary",detailed
11-9039,"Education Administrators, All Other",detailed
11-9040,Engineering Managers,broad
11-9041,Engineering Managers,detailed
11-9050,Food Service Managers,broad
11-9051,Food Service Managers,detailed
11-9060,Funeral Directors,broad
11-9061,Funeral Directors,detailed
11-9070,Gaming Managers,broad
11-9071,Gaming Managers,detailed
11-9080,Lodging Managers,broad
11-9081,Lodging Managers,detailed
11-9110,Medical and Health Services Managers,broad
11-9111,Medical and Health Services Managers,detailed
11-9120,Natural Sciences Managers,broad
11-9121,Natural Sciences Managers,detailed
11-9130,Postmasters and Mail Superintendents,broad
11-9131,Postmasters and Mail Superintendents,detailed
11-9140,"Property, Real Estate, and Community Association Managers",broad
11-9141,"Property, Real Estate, and Community Association Managers",detailed
11-9150,Social and Community Service Managers,broad
11-9151,Social and Community Service Managers,detailed
11-9190,Miscellaneous Managers,broad
11-9199,"Managers, All Other",detailed
13-0000,Business and Financial Operations Occupations,major
13-1000,Business Operations Specialists,minor
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed
13-1020,Buyers and Purchasing Agents,broad
13-1021,"Purchasing Agents and Buyers, Farm Products",detailed
13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed
13-1032,"Insurance Appraisers, Auto Damage",detailed
13-1040,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",broad
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",detailed
13-1050,Cost Estimators,broad
13-1051,Cost Estimators,detailed
13-1060,Emergency Management Specialists,broad
13-1061,Emergency Management Specialists,detailed
13-1070,"Human Resources, Training, and Labor Relations Specialists",broad
13-1071,"Employment, Recruitment, and Placement Specialists",detailed
13-1072,"Compensation, Benefits, and Job Analysis Specialists",detailed
13-1073,Training and Development Specialists,detailed
13-1079,"Human Resources, Training, and Labor Relations Specialists, All Other",detailed
13-1080,Logisticians,broad
13-1081,Logisticians,detailed
13-1110,Management Analysts,broad
