code,title,Level,Hierarchical_structure,parent,soc2d,soc3d,soc5d,soc6d
11-0000,Management Occupations,2,Major Group,NA,11-0000,NA,NA,NA
11-1000,Top Executives,3,Minor Group,11-0000,11-0000,11-1000,NA,NA
11-1010,Chief Executives,5,Broad Occupation,11-1000,11-0000,11-1000,11-1010,NA
11-1011,Chief Executives,6,Detailed Occupation,11-1010,11-0000,11-1000,11-1010,11-1011
11-1020,General and Operations Managers,5,Broad Occupation,11-1000,11-0000,11-1000,11-1020,NA
11-1021,General and Operations Managers,6,Detailed Occupation,11-1020,11-0000,11-1000,11-1020,11-1021
11-1030,Legislators,5,Broad Occupation,11-1000,11-0000,11-1000,11-1030,NA
11-1031,Legislators,6,Detailed Occupation,11-1030,11-0000,11-1000,11-1030,11-1031
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",3,Minor Group,11-0000,11-0000,11-2000,NA,NA
11-2010,Advertising and Promotions Managers,5,Broad Occupation,11-2000,11-0000,11-2000,11-2010,NA
11-2011,Advertising and Promotions Managers,6,Detailed Occupation,11-2010,11-0000,11-2000,11-2010,11-2011
11-2020,Marketing and Sales Managers,5,Broad Occupation,11-2000,11-0000,11-2000,11-2020,NA
11-2021,Marketing Managers,6,Detailed Occupation,11-2020,11-0000,11-2000,11-2020,11-2021
11-2022,Sales Managers,6,Detailed Occupation,11-2020,11-0000,11-2000,11-2020,11-2022
11-2030,Public Relations Managers,5,Broad Occupation,11-2000,11-0000,11-2000,11-2030,NA
11-2031,Public Relations Managers,6,Detailed Occupation,11-2030,11-0000,11-2000,11-2030,11-2031
11-3000,Operations Specialties Managers,3,Minor Group,11-0000,11-0000,11-3000,NA,NA
11-3010,Administrative Services Managers,5,Broad Occupation,11-3000,11-0000,11-3000,11-3010,NA
11-3011,Administrative Services Managers,6,Detailed Occupation,11-3010,11-0000,11-3000,11-3010,11-3011
11-3020,Computer and Information Systems Managers,5,Broad Occupation,11-3000,11-0000,11-3000,11-3020,NA
11-3021,Computer and Information Systems Managers,6,Detailed Occupation,11-3020,11-0000,11-3000,11-3020,11-3021
11-3030,Financial Managers,5,Broad Occupation,11-3000,11-0000,11-3000,11-3030,NA
11-3031,Financial Managers,6,Detailed Occupation,11-3030,11-0000,11-3000,11-3030,11-3031
11-3040,Human Resources Managers,5,Broad Occupation,11-3000,11-0000,11-3000,11-3040,NA
11-3041,Compensation and Benefits Managers,6,Detailed Occupation,11-3040,11-0000,11-3000,11-3040,11-3041
11-3042,Training and Development Managers,6,Detailed Occupation,11-3040,11-0000,11-3000,11-3040,11-3042
11-3049,"Human Resources Managers, All Other",6,Detailed Occupation,11-3040,11-0000,11-3000,11-3040,11-3049
11-3050,Industrial Production Managers,5,Broad Occupation,11-3000,11-0000,11-3000,11-3050,NA
11-3051,Industrial Production Managers,6,Detailed Occupation,11-3050,11-0000,11-3000,11-3050,11-3051
11-3060,Purchasing Managers,5,Broad Occupation,11-3000,11-0000,11-3000,11-3060,NA
11-3061,Purchasing Managers,6,Detailed Occupation,11-3060,11-0000,11-3000,11-3060,11-3061
11-3070,"Transportation, Storage, and Distribution Managers",5,Broad Occupation,11-3000,11-0000,11-3000,11-3070,NA
11-3071,"Transportation, Storage, and Distribution Managers",6,Detailed Occupation,11-3070,11-0000,11-3000,11-3070,11-3071
11-9000,Other Management Occupations,3,Minor Group,11-0000,11-0000,11-9000,NA,NA
11-9010,Agricultural Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9010,NA
11-9011,"Farm, Ranch, and Other Agricultural Managers",6,Detailed Occupation,11-9010,11-0000,11-9000,11-9010,11-9011
11-9012,Farmers and Ranchers,6,Detailed Occupation,11-9010,11-0000,11-9000,11-9010,11-9012
11-9020,Construction Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9020,NA
11-9021,Construction Managers,6,Detailed Occupation,11-9020,11-0000,11-9000,11-9020,11-9021
11-9030,Education Administrators,5,Broad Occupation,11-9000,11-0000,11-9000,11-9030,NA
11-9031,"Education Administrators, Preschool and Child Care Center/Program",6,Detailed Occupation,11-9030,11-0000,11-9000,11-9030,11-9031
11-9032,"Education Administrators, Elementary and Secondary School",6,Detailed Occupation,11-9030,11-0000,11-9000,11-9030,11-9032
11-9033,"Education Administrators, Postsecondary",6,Detailed Occupation,11-9030,11-0000,11-9000,11-9030,11-9033
11-9039,"Education Administrators, All Other",6,Detailed Occupation,11-9030,11-0000,11-9000,11-9030,11-9039
11-9040,Engineering Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9040,NA
11-9041,Engineering Managers,6,Detailed Occupation,11-9040,11-0000,11-9000,11-9040,11-9041
