code,title
11-1011,Ejecutivos en Jefe
11-1021,Gerentes Generales y de Operaciones
11-1031,Legisladores
11-2011,Gerentes de Publicidad y Promociones
11-2021,Gerentes de Mercadeo
11-2022,Gerentes de Ventas
11-2031,Gerentes de Relaciones Públicas y Recaudación de Fondos
11-3011,Gerentes de Servicios Administrativos
11-3021,Gerentes de Sistemas de Computación e Información
11-3031,Gerentes Financieros
11-3051,Gerentes de Producción Industrial
11-3061,Gerentes de Compras 
11-3071,"Gerentes de Transporte, Almacenamiento y Distribución "
11-3111,Gerentes de Compensaciones y Beneficios 
11-3121,Gerentes de Recursos Humanos 
11-3131,Gerentes de Capacitación y Desarrollo
11-9013,"Gerentes de Establecimientos Agrícolas, Ganaderos y de Otras Actividades Agrícolas "
11-9021,Gerentes de Construcción 
11-9031,Administradores Educativos de Centro/Programa Preescolar y Guardería Infantil
11-9032,Administradores Educativos de Escuela Primaria y Secundaria 
11-9033,Administradores Educativos de Nivel Postsecundario
11-9039,Todos los demás Administradores Educativos
11-9041,Directores de Arquitectura e Ingeniería
11-9051,Directores de Servicio de Alimentos
11-9061,Gerentes de Servicios Fúnebres 
11-9071,Gerentes de Salas de Juego 
11-9081,Gerentes de Hospedaje 
11-9111,Directores de Servicios Médicos y de Salud 
11-9121,Directores de Ciencias Naturales 
11-9131,Jefes de Correo y Superintendentes de Correo
11-9141,"Gerentes de Propiedad, Inmuebles y Asociaciones de Vivienda Comunitaria "
11-9151,Directores de Servicios Sociales y Comunitarios
11-9161,Directores de Manejo de Emergencias 
11-9199,"Todos los demás Gerentes, Directores, Administradores y Jefes"
13-1011,"Agentes y Gerentes Comerciales de Artistas, Intérpretes Artísticos y Atletas"
13-1021,Compradores y Agentes de Compras de Productos Agrícolas
13-1022,"Compradores Mayoristas y Minoristas, Excepto de Productos Agrícolas"
13-1023,"Agentes de Compras, Excepto Mayoristas, Minoristas y de Productos Agrícolas"
13-1031,"Ajustadores, Tasadores, Examinadores e Investigadores de Reclamaciones"
13-1032,Tasadores de Seguro de Automóviles
13-1041,Funcionarios de Cumplimiento   
13-1051,Estimadores de Costos
13-1071,Especialistas en Recursos Humanos
13-1074,Contratistas de Mano de Obra Agrícola
13-1075,Especialistas en Relaciones Laborales
13-1081,Especialistas en Logística
13-1111,Analistas de Gestión
13-1121,"Planificadores de Reuniones, Convenciones y Eventos"
13-1131,Recaudadores de Fondos
13-1141,"Especialistas en Compensaciones, Beneficios y Análisis Ocupacional"
13-1151,Especialistas en Capacitación y Desarrollo
13-1161,Analistas de Investigación de Mercado y Especialistas en Mercadeo
13-1199,Todos los demás Especialistas en Operaciones Comerciales 
13-2011,Contadores y Auditores 
13-2021,Tasadores y Especialistas en Valoración de Bienes Raíces
13-2031,Analistas de Presupuesto
13-2041,Analistas de Crédito 
13-2051,Analistas Financieros 
13-2052,Asesores de Finanzas Personales 
13-2053,Aseguradores
13-2061,Examinadores Financieros
13-2071,Asesores de Crédito 
13-2072,Oficiales de Préstamo 
13-2081,Examinadores y Cobradores de Impuestos y Agentes de Rentas Públicas
13-2082,Preparadores de Impuestos
13-2099,Todos los demás Especialistas Financieros
15-1111,Investigadores de Ciencias de la Computación e Información
15-1121,Analistas de Sistemas de Computadoras 
