code,title,soc2d,soc3d,soc5d,soc6d,Level,Hierarchical_structure
11-0000,Management Occupations,11-0000,NA,NA,NA,2,Major
11-1000,Top Executives,11-0000,11-1000,NA,NA,3,Minor
11-1010,Chief Executives,11-0000,11-1000,11-1010,NA,5,Broad
11-1011,Chief Executives,11-0000,11-1000,11-1010,11-1011,6,Detailed
11-1020,General and Operations Managers,11-0000,11-1000,11-1020,NA,5,Broad
11-1021,General and Operations Managers,11-0000,11-1000,11-1020,11-1021,6,Detailed
11-1030,Legislators,11-0000,11-1000,11-1030,NA,5,Broad
11-1031,Legislators,11-0000,11-1000,11-1030,11-1031,6,Detailed
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-0000,11-2000,NA,NA,3,Minor
11-2010,Advertising and Promotions Managers,11-0000,11-2000,11-2010,NA,5,Broad
11-2011,Advertising and Promotions Managers,11-0000,11-2000,11-2010,11-2011,6,Detailed
11-2020,Marketing and Sales Managers,11-0000,11-2000,11-2020,NA,5,Broad
11-2021,Marketing Managers,11-0000,11-2000,11-2020,11-2021,6,Detailed
11-2022,Sales Managers,11-0000,11-2000,11-2020,11-2022,6,Detailed
11-2030,Public Relations and Fundraising Managers,11-0000,11-2000,11-2030,NA,5,Broad
11-2032,Public Relations Managers,11-0000,11-2000,11-2030,11-2032,6,Detailed
11-2033,Fundraising Managers,11-0000,11-2000,11-2030,11-2033,6,Detailed
11-3000,Operations Specialties Managers,11-0000,11-3000,NA,NA,3,Minor
11-3010,Administrative Services and Facilities Managers,11-0000,11-3000,11-3010,NA,5,Broad
11-3012,Administrative Services Managers,11-0000,11-3000,11-3010,11-3012,6,Detailed
11-3013,Facilities Managers,11-0000,11-3000,11-3010,11-3013,6,Detailed
11-3020,Computer and Information Systems Managers,11-0000,11-3000,11-3020,NA,5,Broad
11-3021,Computer and Information Systems Managers,11-0000,11-3000,11-3020,11-3021,6,Detailed
11-3030,Financial Managers,11-0000,11-3000,11-3030,NA,5,Broad
11-3031,Financial Managers,11-0000,11-3000,11-3030,11-3031,6,Detailed
11-3050,Industrial Production Managers,11-0000,11-3000,11-3050,NA,5,Broad
11-3051,Industrial Production Managers,11-0000,11-3000,11-3050,11-3051,6,Detailed
11-3060,Purchasing Managers,11-0000,11-3000,11-3060,NA,5,Broad
11-3061,Purchasing Managers,11-0000,11-3000,11-3060,11-3061,6,Detailed
11-3070,"Transportation, Storage, and Distribution Managers",11-0000,11-3000,11-3070,NA,5,Broad
11-3071,"Transportation, Storage, and Distribution Managers",11-0000,11-3000,11-3070,11-3071,6,Detailed
11-3110,Compensation and Benefits Managers,11-0000,11-3000,11-3110,NA,5,Broad
11-3111,Compensation and Benefits Managers,11-0000,11-3000,11-3110,11-3111,6,Detailed
11-3120,Human Resources Managers,11-0000,11-3000,11-3120,NA,5,Broad
11-3121,Human Resources Managers,11-0000,11-3000,11-3120,11-3121,6,Detailed
11-3130,Training and Development Managers,11-0000,11-3000,11-3130,NA,5,Broad
11-3131,Training and Development Managers,11-0000,11-3000,11-3130,11-3131,6,Detailed
11-9000,Other Management Occupations,11-0000,11-9000,NA,NA,3,Minor
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",11-0000,11-9000,11-9010,NA,5,Broad
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-0000,11-9000,11-9010,11-9013,6,Detailed
11-9020,Construction Managers,11-0000,11-9000,11-9020,NA,5,Broad
